z,M,phiS,qS,SNR,h_inj,luminosity_distance,z_cut,code_rev
1.1482426085499382,284306.41602909035,3.6766893362552797,0.7902022318619656,6.092104270987122,0.73,7.656103244915712,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.4492299262606358,219844.49754098378,0.06102483207678275,2.023895437031572,3.7595921087510757,0.73,10.237482141856388,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.8350547020502481,368627.09971338365,2.6264994075545856,2.270476107896012,13.5432141376283,0.73,5.147219428854799,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.5816926364954288,141828.2531101187,3.0176908650408265,0.7392891623391727,4.074399989161392,0.73,3.2962904590613684,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.0436406478508962,498327.8776730135,4.48608253233025,2.306933197945143,7.6531055698455,0.73,6.795306235537957,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9325087031306132,221509.4813091315,3.040371430512561,2.2512588562830125,5.301397848066801,0.73,5.905010302876259,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9561945302653706,399669.39208824513,4.2568168729415365,1.3563447003232303,9.222929168915622,0.73,6.092525381775478,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.3143145275056702,423089.6840841907,1.547270402056981,2.0834857935369775,9.923750993028838,0.73,9.062806816288505,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.1392008259467543,366978.97132350516,0.6395872460485541,1.4896926766731524,11.535575963512446,0.73,7.580882137715802,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.6579278407279657,376943.74707254884,3.1838630769663663,1.2076377223831845,9.879531119956377,0.73,3.833157377637739,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2883758883400922,227256.90443490585,1.5619689942684998,1.4574687297300162,5.748112832374378,0.73,8.840101434970459,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.6205380502169258,849870.1073213645,6.017253814032303,1.4533902588023817,0.8935310380203382,0.73,3.5675073290868244,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2776632717011618,963686.2670792923,0.8970785147738753,0.7518941346659078,0.5739002971833673,0.73,8.748434941453699,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.7055847372124057,322707.8265850402,5.230272482176596,2.123137834343363,7.852341186294699,0.73,4.177980410734951,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.2566891229178444,182010.27762405254,2.1167053227420842,1.5064875771912178,11.209546538511756,0.73,1.2517185057963685,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.313865541351416,169872.57739534072,2.8624396044728515,1.8909963698114949,2.4092907965114723,0.73,9.05894293569582,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.3489202094354449,402714.3815975446,0.7100712493951992,2.2080951477819606,7.945181726556449,0.73,9.36154770120688,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2017232308053436,96721.02448595746,5.808647784363465,1.3113801790077315,1.4039267185679065,0.73,8.104013311243618,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.7742819877114315,64183.710046729866,5.604916564787076,2.038225190238215,3.1268701472365676,0.73,4.686613201318809,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.8905759811867009,200947.36938585027,2.9478024970429204,1.6140443855448179,5.811218837708034,0.73,5.576174227314419,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.46814038455056184,370865.10622259736,6.022319517979525,1.9884795974276899,16.28127766900798,0.73,2.533568802656871,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.49395897486251433,582091.7621787349,5.672853549686395,1.97738517404127,16.261939805305406,0.73,2.702849288748135,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.0529927583946874,103227.0787152855,3.4862881833078174,0.5999727580862906,2.129891716819591,0.73,6.87140360178267,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.6947119469725593,386418.3215169163,3.3268116855948597,2.690796901581908,17.0700643663297,0.73,4.098713136195085,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.3683276351853684,163718.14680112788,2.1020038420712037,0.8440339474212513,2.4020754147091727,0.73,9.529878535809312,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.380194137207887,965996.636907094,5.104963172030754,1.3376067986420312,0.9370169765377143,0.73,9.633077979663057,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.3081698197354419,621269.9499938801,3.1076803613123727,1.270286397445952,4.1699142967856115,0.73,9.009953959947184,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.4446972278439643,329175.7963256862,4.553292145314104,0.55002495573334,2.861169392309866,0.73,10.197592751972127,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.1369423747490992,92943.92640621909,0.7306242466974557,2.3843348534630167,2.5292362766748817,0.73,7.562116756686245,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.031784350794245,344013.34022276115,0.7999510945666398,1.3219337961196251,6.828641455337356,0.73,6.6990860035929565,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.951187466222708,308136.1538369103,0.2725558564443337,2.2693301458897484,11.933206173517659,0.73,6.052781368755785,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.7397252294119143,208110.91038239372,5.193045502039184,2.2763030056453264,6.5368234700519645,0.73,4.429101129095765,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9915201110732593,581878.8645471861,1.9055179287353075,0.32419075857833196,9.89167787229728,0.73,6.374480988046049,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.8966540779561951,100160.96192974753,4.486151140196367,0.6881726835394802,1.7139425789224625,0.73,5.623584927474922,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.2705552184305337,60755.19388683237,0.7245285006982517,2.7317450206833973,2.598765452157218,0.73,1.329544325783364,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.4107082779372623,530806.3478918476,4.009082744720438,1.6059262041385158,33.103673963482706,0.73,2.166367948999029,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.7961675196570421,66550.09285441788,2.190154610892945,2.2286310481914224,1.4225072503957625,0.73,4.851374766260135,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.4855675652385898,613687.599505536,5.328798460535659,2.268795328450775,8.044367987608995,0.73,10.558281569287601,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.47164510470644316,564362.0236478389,2.694833199528826,1.019706613148325,21.180843838144423,0.73,2.556398312377182,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.273648322809546,154051.29142574934,5.467051600965367,2.031331921357836,2.3432789649799406,0.73,8.714126876224253,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.46970012848453546,49746.32615256515,3.5198201389734165,0.7581745457450381,3.2978280823623414,0.73,2.5437230208732973,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9232570881568326,209459.53139313287,4.078594113260638,1.8791561456400598,4.2459362205038005,0.73,5.832110610685824,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.4973988711568238,431981.5533164235,5.370918196219519,1.2537419553852043,6.179926341736681,0.73,10.663115659035453,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2013492240672923,321387.12074427545,1.3608957373188812,2.282308350136213,4.6256666552161265,0.73,8.100863528137054,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.4492299262606358,219844.49754098378,1.2737774753873945,0.7464458588718893,2.6299900503058833,0.73,10.237482141856388,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.41446058506091876,291827.98602010414,2.5328568220392365,1.5844152029106382,10.780762922161323,0.73,2.189952158116733,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.5967188746300233,140721.09935859605,2.2761505447941426,2.500327392798092,5.059956687739922,0.73,3.40061183070535,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9571292399248426,791108.7390174649,3.9966400364798416,0.7645528794437708,2.739957186795923,0.73,6.099950860277206,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9315017463649068,210271.3187830132,2.534780240617038,2.50275077715645,3.6283613768160152,0.73,5.89706638221278,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9952238352735795,383624.0607194725,1.7184447326692647,1.1125228902771722,9.083407961096146,0.73,6.404198140394588,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2007693449688333,445728.93901793653,2.0722487041689575,2.1882437541079964,6.567873416751715,0.73,8.095980420628685,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.1947566894266666,559999.315435794,6.279873998617603,0.8096882985080172,5.9477471405613915,0.73,8.045382646747923,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.6695898283668362,372906.4546219026,2.3604755976977847,2.2197426137504257,13.52797871741227,0.73,3.916905502070655,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9813163000831482,422891.9265893174,2.687641447995894,2.0516477400224953,11.095438176118165,0.73,6.292761045725664,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2776632717011618,963686.2670792923,3.305890489945818,0.7909703659103686,1.0187300974646778,0.73,8.748434941453699,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.6970944765037341,299173.99089966534,1.8591912407564775,1.0731188869214965,13.708972684390774,0.73,4.116053061449962,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.8445180592725097,290592.3124325224,6.140536614539087,2.1525931941001177,4.56892513157729,0.73,5.219797005255825,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.4786500615748592,134091.59583481,5.38088590903109,1.9554852331902048,1.8748866881723085,0.73,10.497074022706666,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9648273306295323,392150.8386057335,3.0781727527521525,2.1013547699543285,11.303143792217687,0.73,6.161178779172356,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.3392196587009622,521793.94993572496,4.129851224076916,2.0982880803931243,5.6387140625826815,0.73,9.277621499786791,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2017232308053436,96721.02448595746,2.5359688527072173,0.9234563920628787,1.0958038457719768,0.73,8.104013311243618,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.9128534991505983,178230.50792927816,1.5794626254312618,1.595519862892426,2.577165584499646,0.73,5.750367608860664,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.24942777178012543,274562.3683908235,0.40934733404589435,2.6808496663951464,43.83893663715791,0.73,1.21134243359155,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.7527933112931169,491440.52839062,2.7668038720320585,0.5465203956570355,15.325002493731713,0.73,4.526095853009766,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
0.6947119469725593,386418.3215169163,2.5564267043171576,0.9115538874410329,12.621104271596833,0.73,4.098713136195085,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.410162152715815,78447.05787427156,4.5925367825933,2.277376429258818,0.7570392718742324,0.73,9.89461351681929,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.3572078466537207,724292.1587509435,0.9384228180026233,2.3430969804005404,6.9570440856714955,0.73,9.43336199183144,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
1.2595653582059976,441832.1463577643,0.5593772075642798,2.1194949301160415,5.420947347528763,0.73,8.593992661992935,1.5,b6bf57dd9079ed6a12a262e620d8366f27b5e0c6
