M,mu,a,p0,e0,x0,dist,qS,phiS,qK,phiK,Phi_theta0,Phi_phi0,Phi_r0,delta_M,delta_qS,delta_phiS,T,dt,SNR
7366612.383697983,33.77603559609957,5.323670898409471,11.717227146002744,0.0295484773493864,0.0333254775836817,0.5194596356740242,-0.3161066289910177,0.0439220356305087,0.5875417303760697,0.3346056361757581,5.415468115241445,4.889583330221339,3.635371343143482,90.91186733523875,10.539057648204295,14.175842167449538,0.4827461827943784,12.0,0.07410346115343
6623764.309357477,98.45557375556534,7.194323644563618,11.791446272665628,0.672484277207728,0.2463647374468824,0.3407244516581946,-1.5376177670249265,4.230779352843509,0.5866636023366132,4.672438391999141,4.911655598194302,3.3815573757880983,3.574206923933452,0.0064498939676081,5.028924191995146,4.765797895988938,0.6968407089408482,29.0,0.023055645340596
3930144.767311335,62.57614672004663,8.305400802888594,11.769794285705183,0.0751034450521521,0.8388301353854994,1.1174478462638755,-0.6047404052608985,0.8491172778132785,-1.1026383129509116,4.306568906609412,1.1043086068017427,2.8609424222679163,0.4383731926942425,0.0106359164442329,11.16868305854107,11.433648120096016,0.6859616568600008,73.0,0.001346402474193
3725908.642916695,38.192422837673725,6.846965731201365,13.309025940007244,0.0228013011434388,-0.039669748565432,0.4485466541905367,-0.2968324162454228,2.4164457507394608,1.5396442656526328,1.7227703366613984,3.4630768607924827,6.011311210723236,3.963927865234544,0.0280797838921033,4.570683452567959,2.818532902505322,0.6682275772768259,14.0,0.0644467957035277
3372995.0851706685,24.1392405701769,3.400963627014744,14.860157458849844,0.4386975199176321,0.663394480832536,1.633579771210813,1.1581088205426036,2.0804936001739995,-0.2913323136002537,1.8846939145855568,4.478442297674053,0.6143747788669013,2.4966501636199383,194.74018323773484,167.1508619776224,564.6466899069745,0.5041573298475877,73.0,9.451213859788312e-06
2115019.015892859,65.63122807716519,3.77520870417442,15.77763583682649,0.4165102061255658,-0.8779566760546476,0.1586375474900143,-0.4659588398359529,6.032474263921568,1.446984509233031,0.0836472494163752,3.288370901083066,0.5766371727816473,4.766525673569196,0.0169366708792152,2.422998805097769,1.5600883448574605,0.6497149683840404,55.0,0.085845103637161
7720437.969662888,93.99744904552112,6.194645898352389,10.751212584852704,0.4403970326459637,0.335562140535661,0.5252000700003479,-0.1217375393025494,3.621263493191353,0.7415218707400437,4.0291041748209375,4.394377691889381,5.502641957868378,2.756684127675096,1.1560256989288822,10.737117342654091,7.043092634850024,0.3946864390164761,43.0,0.0140730669596434
6394426.078223609,72.5010588862795,4.0850060124271925,13.826596764738971,0.075157378242654,0.9586918396625016,1.5674058231606849,1.4611489298733025,2.6199947752192525,0.4455459609622099,2.806888859316,1.0733479939492774,2.520508869910674,2.9175693730913657,1.778655383067387,24.861513878940347,30.47629116259405,0.8392906940889029,12.0,0.0011171890299668
3488831.1624688874,67.5493281728082,5.397788613260612,13.142877927151568,0.1247326823638744,0.3147116607959836,0.5833898629103897,0.0647159795471394,1.284440865758416,0.0931232855212762,3.1954481412924243,5.900718660899165,0.0701515768999668,0.6947665539913401,0.5023655424873287,84.1743684898347,689.7494746116065,0.500326688759775,68.0,0.002239104229593
7495775.763636788,29.85600638586995,1.6915667411977486,13.023817630818211,0.339628215276043,-0.8517211607361614,0.7008719914968873,-0.5529821515179696,1.9560209680801868,-0.9128236375446208,0.3992489000207825,2.5969883388978205,0.909231109190685,1.579612928458095,1485.5396188594384,11711.969327759289,9146.08960479499,0.8134661623360923,88.0,2.6044700226475595e-05
