M,mu,a,p0,e0,x0,dist,qS,phiS,qK,phiK,Phi_theta0,Phi_phi0,Phi_r0,delta_M,delta_qS,delta_phiS,T,dt
5317263.913562309,67.84214175783126,3.974105531272564,14.271675050787296,0.5775296819878009,0.7233926564083812,0.955631220105606,-0.2276699530247965,0.5044106800009633,1.23484134042431,2.407986901688347,4.962582959913848,4.470270769012098,2.006894097213655,0.0178704564095793,0.0189124832541003,0.0083953001387582,0.2,100.0
8135611.483981564,24.796354003590974,0.9101397588148208,13.061132350557363,0.4396945088190446,-0.3998969854955807,1.2213486888717602,0.8014686082191331,5.917627092485079,-0.457862552799094,3.206244887321808,0.6183150864664424,5.390751780518119,5.080127250175838,11.394380019293797,0.0160819969108138,0.022765056125311,0.25,100.0
5568210.022401562,74.26583329075737,7.43549120274929,10.742031776447948,0.1979558207970375,0.4976041845056123,0.3346990804320893,-1.0841542051638728,0.7367277738197349,0.9738325937580714,0.3329015469326267,1.5273257115785994,5.796499578704451,1.997675802434368,0.0001626745656587,0.0013200616967058,0.0010961448074826,0.25,100.0
2784471.77108613,17.655148652209043,3.783646821835749,11.55333384370064,0.2023816496097332,0.9144578769524044,1.104151339762114,0.5601785997048863,5.590983077587231,-0.8966580506327286,1.936328994775265,0.4425824087229445,4.565634725520399,2.8974852872983528,0.0098650968407591,0.038483952318274,0.045066776758853,0.25,100.0
650835.52084143,9.152885424446296,6.552418574547114,10.058525589922729,0.2445056828817325,-0.507463623218678,1.928249090324494,1.151098359442727,4.642644947717378,-0.729242770739075,1.2066983495151606,0.3521445642682773,2.612111715804981,3.553050331623112,,0.483504992416409,0.3516794029808103,0.25,100.0
2232327.746401465,73.2553802435748,8.098541749490844,11.399725186240156,0.1763343808106853,0.7207087094235485,1.0793881247434485,-1.2765611465890572,2.5109994698482154,-1.1760091188836326,0.3205035480089407,5.148213471708377,2.635540937787222,2.109460325135472,4.416981131199065e-06,0.0116356901796284,0.0081947613532831,0.25,100.0
3530244.937575638,86.60590940583953,4.494173171035753,15.250088706511718,0.6862056979280846,0.7097322534876482,1.048383202620581,-0.32392411052992,2.2553167816841846,0.5452256337558001,4.526421892830895,0.8596685597401157,2.139718979098625,4.375747219509835,0.0020736798713954,0.0135972907004571,0.0300557675430416,0.25,100.0
9213888.853973337,68.2954513145524,8.275238103618511,13.664181236698488,0.3374682624451209,0.4560523768737545,0.5409023066038576,-1.0240303375989293,2.051525195733932,1.5451343125875288,2.9615676425322657,6.220189930004298,4.120273385522012,5.471312406986839,0.2467847364855027,0.002697925487392,0.0018149578025757,0.25,100.0
806372.9031265333,71.9615623311176,0.6042930127537582,14.964814282097167,0.1585372506938032,0.5123734585250426,0.6837658627897079,0.2056467720078518,6.172640721520474,-0.7101314434842628,5.81334551375542,0.4381452166836825,3.032278135463494,3.53421239386487,4.381937533987985e-06,0.0139661197827149,0.0092603116385092,0.25,100.0
4316464.1654426325,94.86091182435548,7.334278410279963,11.906349853314032,0.4873708276374895,-0.5708491982343016,1.8302002615039608,0.0867343083018417,0.8345172476580225,0.1938678513002172,2.4883322319244168,3.341385149420836,0.6618379898051037,2.5153615286435125,0.0003732266854209,0.1649896826989274,0.8066968469470951,0.25,100.0
6769581.212083075,31.031456694100022,1.774348131172857,11.798431310109487,0.682670308177205,0.5880400685296618,0.4650715371101221,0.688490871059062,5.733786761905543,-0.3861879921283344,5.07779545465823,2.7924164954593125,5.559677362124779,6.007400508420464,0.0119781065662383,0.006838063457172,0.0101584058931304,0.25,100.0
3193728.6482453905,99.1198148271354,7.382253795132426,11.351729617113651,0.3797651828958741,-0.0369296852678389,0.2668762424888191,-0.9820667033343836,4.027745214602819,-0.6445887185074829,5.619545027679864,0.4575213204307011,6.152587384691887,5.594124088659749,1.895767899536428e-05,0.0376866702319951,0.0495368638652184,0.25,100.0
4572057.237796891,57.39130971834966,8.960595496415863,10.124827012122676,0.208928042111569,0.8471245739638056,1.5375797856188345,1.440445944076449,0.0632939035089517,1.5291186150850162,5.869593500546806,2.066844870323651,3.447999392467237,5.239533621855935,4.263085993373462e-05,0.0023024081795852,0.008157509379257,0.5,100.0
5835146.441397085,35.64825416995225,8.981630978969129,13.80693358673712,0.0501327702056737,-0.7791059487031988,0.8355845226111558,-0.6434296870899743,6.034229979909388,0.169870066384558,5.114381240687144,3.9063945878718846,3.3172512360301525,1.993121164602855,0.0480050180297779,0.0064989175591452,0.0175455629764761,0.5,100.0
9289020.43920094,58.18666094700343,9.188621124687398,15.88527432493973,0.1775447583395551,-0.1610714584697481,0.1017391926335042,-1.385739931407256,5.964686565346695,0.959187383776992,3.748438533205489,5.507762613066651,0.9277755408792188,0.5622320980063316,0.11003536511412,0.0003027597883169,0.0003956790588767,0.5,100.0
3429438.162618468,33.78534272717029,1.1321488737895236,15.826819092274384,0.6650863009240597,0.2404362793739429,0.7414709064561786,-0.9364287055776792,3.6312728084020978,-0.0398887901745634,4.1596709935290805,0.5403456956890962,0.7297795979400035,4.149443261111292,0.0030419141039802,0.0093705499429764,0.1103979465003941,0.5,100.0
1433904.5870148756,81.18477470254152,7.154412637556476,15.48902123253183,0.0137192233235526,-0.3102078769704719,1.126728678244977,0.99311205969236,2.645720299157819,-0.0954604373142784,4.555728273202903,4.826501120129532,3.3012784776695465,0.0367968246580729,1.4441477945705055e-06,0.0121423219354744,0.1136664168230974,0.5,100.0
