M,mu,a,p0,e0,x0,dist,qS,phiS,qK,phiK,Phi_phi0,Phi_theta0,Phi_r0,T,SNR,generation_time,dt
9424893.934544658,10,0.98,13.60572147730305,0.0564056216660588,0.4871706961674282,3.999692923386888,2.24347456517062,0.4994679432845441,1.1245637741594747,5.200251174536177,3.25148831943203,1.8585437782653325,0.5363738924963113,5,0.0008165986790576,3.159,10.0
9424893.934544658,10,0.98,13.60572147730305,0.0564056216660588,0.4871706961674282,3.999692923386888,2.24347456517062,0.4994679432845441,1.1245637741594747,5.200251174536177,3.25148831943203,1.8585437782653325,0.5363738924963113,5,0.0009528651635692,0.062,10.0
9424893.934544658,10,0.98,13.60572147730305,0.0564056216660588,0.4871706961674282,3.999692923386888,2.24347456517062,0.4994679432845441,1.1245637741594747,5.200251174536177,3.25148831943203,1.8585437782653325,0.5363738924963113,5,0.001352103468306,0.091,10.0
9424893.934544658,10,0.98,13.60572147730305,0.0564056216660588,0.4871706961674282,3.999692923386888,2.24347456517062,0.4994679432845441,1.1245637741594747,5.200251174536177,3.25148831943203,1.8585437782653325,0.5363738924963113,5,0.0016606483839837,0.131,10.0
9424893.934544658,10,0.98,13.60572147730305,0.0564056216660588,0.4871706961674282,3.999692923386888,2.24347456517062,0.4994679432845441,1.1245637741594747,5.200251174536177,3.25148831943203,1.8585437782653325,0.5363738924963113,5,0.0021551876752216,0.185,10.0
1978732.544721817,10,0.98,13.732977947914923,0.1579794137447716,-0.119278016975197,1.2947366389568609,1.794469862911192,0.5941842809834562,2.494058277949021,6.091012207607594,0.8886502029056031,3.8900748227417954,3.563958113425336,5,0.1119650746113093,0.124,10.0
1978732.544721817,10,0.98,13.732977947914923,0.1579794137447716,-0.119278016975197,1.2947366389568609,1.794469862911192,0.5941842809834562,2.494058277949021,6.091012207607594,0.8886502029056031,3.8900748227417954,3.563958113425336,5,0.1455266944358213,0.168,10.0
1978732.544721817,10,0.98,13.732977947914923,0.1579794137447716,-0.119278016975197,1.2947366389568609,1.794469862911192,0.5941842809834562,2.494058277949021,6.091012207607594,0.8886502029056031,3.8900748227417954,3.563958113425336,5,0.2096064124953093,0.394,10.0
1978732.544721817,10,0.98,13.732977947914923,0.1579794137447716,-0.119278016975197,1.2947366389568609,1.794469862911192,0.5941842809834562,2.494058277949021,6.091012207607594,0.8886502029056031,3.8900748227417954,3.563958113425336,5,0.2615237305100295,0.519,10.0
1978732.544721817,10,0.98,13.732977947914923,0.1579794137447716,-0.119278016975197,1.2947366389568609,1.794469862911192,0.5941842809834562,2.494058277949021,6.091012207607594,0.8886502029056031,3.8900748227417954,3.563958113425336,5,0.3508682222512368,0.736,10.0
8753927.190686733,10,0.98,10.640160077668176,0.1832709284135765,0.0499250467330312,1.436878099903213,2.544155268672497,2.709969140176743,1.2193913290109826,2.604894340350763,0.1314065462669944,1.6826484707922478,4.16986319557809,5,0.0104707274463242,0.057,10.0
8753927.190686733,10,0.98,10.640160077668176,0.1832709284135765,0.0499250467330312,1.436878099903213,2.544155268672497,2.709969140176743,1.2193913290109826,2.604894340350763,0.1314065462669944,1.6826484707922478,4.16986319557809,5,0.0153068186833281,0.09,10.0
8753927.190686733,10,0.98,10.640160077668176,0.1832709284135765,0.0499250467330312,1.436878099903213,2.544155268672497,2.709969140176743,1.2193913290109826,2.604894340350763,0.1314065462669944,1.6826484707922478,4.16986319557809,5,0.0216606591477081,0.13,10.0
8753927.190686733,10,0.98,10.640160077668176,0.1832709284135765,0.0499250467330312,1.436878099903213,2.544155268672497,2.709969140176743,1.2193913290109826,2.604894340350763,0.1314065462669944,1.6826484707922478,4.16986319557809,5,0.0265547031953564,0.165,10.0
8753927.190686733,10,0.98,10.640160077668176,0.1832709284135765,0.0499250467330312,1.436878099903213,2.544155268672497,2.709969140176743,1.2193913290109826,2.604894340350763,0.1314065462669944,1.6826484707922478,4.16986319557809,5,0.0343824514099698,0.309,10.0
5130167.447912256,10,0.98,13.315348752891968,0.1291261592801915,0.2086773170981923,2.2084787072509373,1.08091867874003,4.202138215255011,1.0760455957041473,4.259599099657436,6.087178000675172,1.1275377591338436,0.2827212344315609,5,0.0065697914000439,0.042,10.0
5130167.447912256,10,0.98,13.315348752891968,0.1291261592801915,0.2086773170981923,2.2084787072509373,1.08091867874003,4.202138215255011,1.0760455957041473,4.259599099657436,6.087178000675172,1.1275377591338436,0.2827212344315609,5,0.0076886613452665,0.055,10.0
5130167.447912256,10,0.98,13.315348752891968,0.1291261592801915,0.2086773170981923,2.2084787072509373,1.08091867874003,4.202138215255011,1.0760455957041473,4.259599099657436,6.087178000675172,1.1275377591338436,0.2827212344315609,5,0.0109176131803949,0.083,10.0
5130167.447912256,10,0.98,13.315348752891968,0.1291261592801915,0.2086773170981923,2.2084787072509373,1.08091867874003,4.202138215255011,1.0760455957041473,4.259599099657436,6.087178000675172,1.1275377591338436,0.2827212344315609,5,0.0134225831987709,0.109,10.0
5130167.447912256,10,0.98,13.315348752891968,0.1291261592801915,0.2086773170981923,2.2084787072509373,1.08091867874003,4.202138215255011,1.0760455957041473,4.259599099657436,6.087178000675172,1.1275377591338436,0.2827212344315609,5,0.0174601484175327,0.161,10.0
430867.4499226604,10,0.98,13.57373095656642,0.0976844902339637,-0.4282452194882722,0.9468745932499072,0.7828875484275876,0.551201091245993,1.4210923379576963,3.9106050236671512,4.245194710739363,5.565104606247055,4.356358185935853,5,2.377692791485403,0.131,10.0
