M,mu,a,p0,e0,x0,dist,qS,phiS,qK,phiK,Phi_phi0,Phi_theta0,Phi_r0,T,dt,SNR,generation_time
657063.646548715,10.0,0.98,10.91671689925274,0.1220954534569773,0.9938239864341571,1.27433559661021,3.0268939704221296,2.2372354721050054,1.6868193566874952,3.7801441308143047,5.726656972173791,1.9810809731849173,0.3838039227665287,5,10,10.75738109110371,0.848
2624364.185716824,10.0,0.98,11.18415033761645,0.0984491447442141,0.5480718204545543,1.8911972240875985,2.277996395877206,5.747220617465276,1.3236710629604784,4.455722070689943,0.8828537590028289,6.0121436910752335,4.52163020164028,5,10,0.7095372917738728,0.079
460978.1500018247,10.0,0.98,13.78101758495977,0.1414800067558119,0.0600986009690509,1.578560794610284,0.7041655550197224,4.826382327815099,2.8929416289602803,3.141590777016909,6.23164692550862,3.464812449279516,2.7129439168523586,5,10,11.145165855153094,0.528
885716.2786440938,10.0,0.98,12.857399544015008,0.0679735874806968,-0.704907981343966,3.651476617326679,1.440567877970408,4.851707771198002,2.7892014476348743,3.666048074989424,2.9139239458315496,6.087638785757916,3.1782594057173634,5,10,2.4620598208458144,0.185
1299240.8981834082,10.0,0.98,11.388763771234322,0.110420541549447,-0.981410989358558,0.8765748432479651,2.2441772231777763,2.3662086856479747,1.3514134748207254,4.858529249498574,2.278813511474618,1.2007679750929396,5.206219487836988,5,10,11.374063529240292,0.134
2789001.78382367,10.0,0.98,15.856170082883914,0.0588081812351994,0.2980208853939425,2.433220880204729,0.3639311844779148,5.521666783695479,2.239329948345246,5.65083539288065,2.98107816993262,4.874286457283332,5.0838028897592045,5,10,0.0991513386481428,0.08
2052412.944086488,10.0,0.98,10.066769305765932,0.0730706484559984,0.4069637890466295,3.856500308431328,1.797156830268572,1.1609706453896749,2.6440377062231994,4.244851631569671,0.1668621495846991,5.258074211625145,5.9607541278644245,5,10,1.038156681617357,0.117
2720692.8694298235,10.0,0.98,15.18491313685126,0.1881183497445901,0.3453696723132342,3.0056101538448985,2.9094781235833604,2.429811088749869,0.8547394535728213,1.495700342747912,5.1814640741490745,1.4612240331616209,2.694682135226988,5,10,0.1133660802794755,0.066
810327.0774453453,10.0,0.98,14.81567464721788,0.1353300332931973,0.5268267338338026,0.7692294322676755,1.6237085439357024,5.319000876902414,1.305299184367855,5.9458384657810175,5.82730617282647,3.2104864947124967,2.7531200721641564,5,10,7.354989857819895,0.127
2293590.7890068614,10.0,0.98,11.816379277036445,0.1348911070731951,0.8793658197073,2.9062574267293986,0.5893173258781043,0.7640583491795018,1.3718303158446323,5.335242866101053,2.999996492923953,5.917537661805705,4.537958604690532,5,10,0.3545862434802054,0.08
1359652.9556192,10.0,0.98,10.341805755126266,0.181629923820706,-0.7104384887303485,1.688710562251891,2.866775490205685,1.4738151974426712,2.373777980019113,2.490361797652068,2.396109847207572,0.0574054729115177,2.6245761690034968,5,10,6.014926053233807,0.097
1832143.8647312808,10.0,0.98,12.961774612439424,0.0716898739357409,0.246252671277747,2.6955949010241875,1.6177382255200174,3.412719283300623,2.793736146574412,0.0187989004832517,2.1622606161561904,2.022262816655497,4.370885199540211,5,10,0.6850519047425517,0.084
1027307.8764636233,10.0,0.98,10.340178089485208,0.0737529692468516,0.9635581616901392,3.9506831283735617,0.7930655478257224,0.6485251021942752,1.5922140536439635,2.4392437430378444,4.4538730692290045,4.538354557811699,5.497692562325122,5,10,2.2814900925615884,0.117
1367993.4134384678,10.0,0.98,13.14535007083536,0.1892786656496178,-0.3279987535676569,1.5933816552047275,1.972556071452916,1.667089817164976,1.937220193140075,2.2099951123893904,5.817032371324342,1.1338506011448617,0.8344987701992788,5,10,1.4204807244978503,0.09
2972496.8218465243,10.0,0.98,15.015798843841626,0.1171471723067156,-0.6358108655966921,0.9665644790604216,0.9732771819054338,0.0874591857365008,2.1343930434040272,2.7614998148143663,2.165983617575589,2.885494601863296,1.6861066487869094,5,10,0.3186337374037445,0.063
614708.4917128084,10.0,0.98,10.284491208315345,0.1585508611981645,0.6665134810218678,3.846446957383776,1.850158621142739,2.259506684015028,0.8509333132256927,4.00837552913094,3.173571904917243,2.238948214906388,0.6433823609037084,5,10,9.569801928067385,0.507
2702338.143073013,10.0,0.98,12.20699484997917,0.1071478286900317,-0.0017430059739949,1.8007816563032235,2.02875908847394,2.209332109767713,2.988814230265729,3.1997809961941144,5.913305028187484,6.008413289371837,5.986609480150481,5,10,0.4597051568864622,34.458
689493.8215314425,10.0,0.98,15.397273101668247,0.050437647425649,-0.4031143663378682,2.212784621375373,0.2770861189320273,3.740154186383752,0.664678739386791,2.548721659684044,3.900712557209092,0.940820114508094,2.931582340321994,5,10,2.475924171116255,0.223
783479.8130112235,10.0,0.98,14.359522733223375,0.1051916584310845,0.9918334987381714,0.8734153342147554,0.8744602420085413,5.987841118881758,2.4143625691794712,5.026821396119599,2.920810274960324,6.199128145578852,3.735279727996391,5,10,4.5756739838194695,0.077
