event_idx,influence_2D,influence_1D,rank
0,0.00011026821977055956,0.00010650321090066583,707
1,0.00031264139591336004,0.0002806166779776298,83
2,2.3965397530134602e-05,3.506147541587623e-05,944
3,2.6572307732841693e-05,3.725166804124935e-05,941
4,8.9670622210547e-05,8.41978427889023e-05,767
5,-0.0005568755060432196,-0.0004843414870072671,1518
6,0.0003429036014015452,0.00030888635605264003,28
7,0.00018264402389644996,0.00016648036133815047,503
8,0.00021907361599227126,0.00019693721800595476,374
9,-0.0001514828807877011,-0.0001257935417580125,1201
10,-0.0002495093716052832,-0.00021596667789691715,1281
11,0.00021043596057468417,0.00018961291493979626,412
12,5.739320971565043e-05,5.562655923152526e-05,854
13,-0.0003677077457853173,-0.00030051275534026534,1372
14,-0.00010862886455209608,-8.023019299852052e-05,1146
15,0.00028815104752233367,0.00025804054056921544,137
16,0.00031316508121514985,0.00028029108227578536,81
17,0.00023342117187119538,0.00021048082630192866,317
18,-0.00047305271316588904,-0.000449973787385205,1461
19,0.0002608595394890667,0.000233961117355741,212
20,0.00020475787229135012,0.00018351144490724725,430
21,-0.0003410361557677488,-0.00017457510902352258,1339
22,0.00015148608395487706,0.00014054921493544814,591
23,-0.0005931693209901834,-0.0005190541241353319,1536
24,0.0001477206197788572,0.00013757127016189585,600
25,0.00030135971635780745,0.00027100925673295695,107
26,0.00029086052005800056,0.00026057200309770323,128
27,-6.464280230966679e-05,-4.205574012605684e-05,1099
28,-0.0005020531956210217,-0.0004923201136325384,1486
29,7.890259209808459e-05,7.70471590696431e-05,792
30,0.00011940673595578488,0.00011050584422744869,681
31,0.00013061462442931493,0.00012121651727436955,645
32,6.585932675418071e-05,7.040795180535131e-05,827
33,-2.591873676849321e-05,-1.5807728674599453e-05,1044
34,-4.010964900880154e-05,-3.0069126907728005e-05,1065
35,-8.258375607839152e-05,-5.781616342115381e-05,1120
36,0.00020967237506952507,0.000189074064309791,414
37,0.00023489770093854112,0.00021092274797496202,311
38,-8.604145584789613e-05,-6.864948541240867e-05,1129
39,0.00032874342876731966,0.00029544163756534125,51
40,0.00028098167440493427,0.0002528712328982996,158
41,0.00023389161313303042,0.0002100433662723944,314
42,0.0002610101627096295,0.00023450490384469003,210
43,-0.0004838709308593314,-0.00045137364231551125,1475
44,-0.00046836357442803234,-0.00044515151558133237,1455
45,-9.878404416874265e-05,-7.933442383345479e-05,1139
46,0.0005318541648164921,5.1599295301629766e-05,3
47,6.0392212922200095e-05,5.939431886525792e-05,846
48,-7.147219797176696e-05,-4.803509600648237e-05,1107
49,0.0003272253900207245,0.0002932692429858941,57
50,-0.0004939260830927328,-0.00045797308691053473,1482
51,-1.5536716376773896e-05,-5.664106436986671e-06,1029
52,9.95005802867377e-05,9.802165746264357e-05,740
53,0.00023152483437394178,0.00020805835107462478,324
54,-0.00038591962089906673,-0.00035522868601822744,1384
55,0.00036788108352492355,0.00033190484685663435,10
56,0.00025214668389816897,0.00022659110929190707,248
57,0.00019868106944986863,0.0001797497105632262,452
58,-0.00011643909238723271,-9.595745038071257e-05,1154
59,-0.00044211936501481475,-0.0003868628047061229,1428
60,0.00014795657993837974,0.0001356892535225862,598
61,0.00013229639510292657,0.00012483582763378465,640
62,-0.00014474210547510413,-0.00011925292665582177,1188
63,0.00032287040090606123,0.000292365700950703,62
64,4.382179206008363e-05,4.417865058481407e-05,897
65,0.00019004058355653886,0.00016988183311594796,480
66,0.00013190038638899448,0.00011957707482390667,642
67,-0.00023422798032357584,-0.00019977585955543997,1272
68,0.00018860460725977912,0.00017131863380137613,487
69,9.937037111606983e-06,1.8683831113919247e-05,978
70,-0.00017994089023820603,-0.00015250846628600545,1237
71,0.00024171625327729096,0.00021599594293686408,284
72,4.0432008017510235e-05,4.891659018346761e-05,906
73,0.0002007493525366666,0.00018016028614331603,445
74,-0.00016818743671032088,-0.00014172389463951163,1220
75,-0.00012156936719143197,-0.00010010378324010194,1159
76,-0.0004771816030987308,-0.00046421886701941695,1467
77,-0.00011621523348781526,-9.476323709745049e-05,1153
78,-0.0004111029580726733,-0.00036487538132012887,1401
79,0.00012197993255136375,0.00011208907221249564,667
80,0.000285982206043367,0.00025627145816464747,144
81,-1.1717739824335105e-05,-6.890422917793515e-07,1022
82,0.00011231749083429055,0.00010839061919598603,702
83,2.887906810300489e-05,3.372890322372868e-05,936
84,-0.00043130381289135933,-0.0004002565239652478,1421
85,8.131820767820486e-05,7.789160772697645e-05,787
86,9.224800738538708e-05,8.845177227523315e-05,761
87,-7.567801297836407e-05,-5.17497599477057e-05,1112
88,0.00013310421563894614,0.00012244632920233034,636
89,3.953944978363211e-05,4.0861593537999674e-05,908
90,0.0002922347109932666,0.0002623442930802522,125
91,0.00029663518151989976,0.00026699786639416967,116
92,0.00020988843688052317,0.00018897904630021944,413
93,-0.0006337425621668613,-0.0005131600924173085,1551
94,0.0005607951773091147,-1.1056227886885317e-05,2
95,-0.00016510740232666965,-0.00013818736482484884,1216
96,-0.00031228528871174444,-0.000299604009187715,1319
97,0.00012189561062159182,0.00011273463570293796,669
98,-0.00031901872785855545,-0.0003879672105021603,1326
99,0.00028992653065618157,0.00025970923734330853,130
100,-0.00012593758535217603,-0.00010419307133635591,1163
101,-7.365381052815145e-05,-5.7384305221175325e-05,1108
102,5.266429538486328e-05,5.1136948931329584e-05,870
103,0.00025728925966927996,0.00023126994047895089,226
104,-0.0005364489634435143,-0.0004851528870832844,1508
105,-0.000560494665370892,-0.0005337367734321585,1521
106,9.703214424194861e-05,9.566504370861484e-05,748
107,-0.00041989000863595916,-0.00029576049985124975,1408
108,3.608767243468147e-05,4.540663229590791e-05,920
109,-8.510444054310451e-05,-6.485607100936708e-05,1127
110,-3.771919652117983e-05,-1.8394647054997826e-05,1061
111,0.0003224808015276359,0.0002889611450265228,64
112,-0.00027364372509752766,-0.0004743863890322997,1299
113,-0.0005104494804436532,-0.0005083835012161808,1491
114,-0.00031620086395645064,-0.00039598105237315107,1322
115,0.0002708899894924288,0.00024274879890118228,186
116,0.00017801658367300188,0.00016245098316824969,518
117,0.0002993969790392459,0.00027422634450113836,111
118,-0.0005554395446449867,-0.0005085512177736007,1516
119,-8.17783929202287e-05,-5.702373925198234e-05,1118
120,0.00018637735080662132,0.00016969425607549216,494
121,0.00015839815200568985,0.0001446055523394163,567
122,0.00017773273135879286,0.00016189305189895364,520
123,0.0001933712715597169,0.0001757698316658951,472
124,0.0002475453185580845,0.00022245736388804005,260
125,-0.0006856368657024436,-0.0002881686007861761,1565
126,-0.00023042740140566398,-0.00020485222536148484,1268
127,0.0001163545763238627,0.00010582204067888235,689
128,-2.048997313230938e-05,-0.00021635417919774191,1036
129,0.00019558186010992795,0.00017620063276180264,462
130,8.874834882299787e-05,8.453583154999222e-05,769
131,-1.5207901064906437e-05,-0.0001485539241257161,1027
132,-0.0004484238847307642,-0.0004471167943441712,1437
133,5.686484212719112e-05,6.265646925940338e-05,857
134,0.00030336829571231405,0.0002733992171387589,99
135,-0.0004485005492796956,-0.000300809773120414,1438
136,3.926439524704062e-05,3.99134811104318e-05,910
137,8.155114185837142e-06,1.29325325199936e-05,984
138,-0.00025461238528368124,-0.00021845820174815067,1286
139,0.0001478242457279011,0.00013761477048768178,599
140,0.00020635719859196655,0.0001861695622604742,424
141,0.0002396104645714381,0.00021673208723382853,292
142,0.00024881987556713003,0.00022315625035829179,255
143,4.831478057520933e-06,9.610415352634405e-06,993
144,0.00011439271120528005,0.00011031494859115032,695
145,-0.00014753622446783687,-0.00012207076304326936,1195
146,5.603505323048541e-05,6.187575956928537e-05,858
147,0.0002775539595476495,0.00024914092930894416,163
148,0.0003048332791416586,0.00027238598187595553,98
149,0.0002979035379638839,0.0002668573515259842,115
150,-9.868416163127947e-07,1.0185399397788508e-05,1003
151,-0.00012138903532465939,-8.968869260861378e-05,1158
152,5.2136634980048946e-05,5.280726394663038e-05,876
153,0.0001994075297718778,0.00018040045190870213,450
154,0.0002567828466215616,0.0002313106983572455,233
155,3.05946984662242e-05,4.073269171078753e-05,933
