event_idx,C1_in_catalog,C4_z_gw,C5_log10_sky_area,C8_cone_outside,C10_log10_M,C10b_low_M_timeout_bins12,C11_log10_snr,C2_hosted_exact,C3_hosted_rel,C3c_log10_f_cat,C3c_censored,C6_mass_window_retention,C7_log10_n_cand_1d
0,False,0.4568686979169109,-3.2075918275287494,,5.610026821022994,False,1.3808702805553317,False,False,-320.0,True,,0.0
1,False,0.8145799497264308,-2.810609443070542,,5.840958346370452,False,1.3889982177817142,False,False,-320.0,True,,0.0
2,False,0.3462318239567731,-3.3271645506355334,,6.042371868655961,False,1.7497832333372374,False,False,-320.0,True,,0.0
3,False,0.34924377753876457,-3.7603754923260944,,5.616922072984693,False,1.651457978287893,False,False,-320.0,True,,0.0
4,False,0.5375264658282739,-3.1354695120388394,,5.580651567767842,False,1.4295072767692805,True,False,-20.632234078381607,False,1.0,2.143014800254095
5,False,0.29149631060477726,-1.983480813709036,,5.4830776633569664,False,1.3277979479325983,True,True,-1.5736631079636687,False,1.0,4.163965982954884
6,False,0.8847404548896524,-2.3169406752907107,,5.843886754273649,False,1.325184546832748,True,False,-35.236000564968585,False,1.0,0.47712125471966244
7,False,0.5654926375111547,-3.5274497583422524,,5.795607692140217,False,1.5546052354424509,False,False,-320.0,True,,0.0
8,False,0.6450349486990355,-2.723379636658145,,6.024784784768461,False,1.4949407639120764,True,False,-27.817102581418677,False,1.0,1.462397997898956
9,False,0.414396295426589,-3.78196108374666,,5.656653875340567,False,1.5231383129500158,True,False,-15.496059928562229,False,1.0,1.591064607026499
10,False,0.402650228017858,-2.9725525633720244,,5.90584716387415,False,1.4151264109211554,True,False,-7.090484783245019,False,1.0,2.5854607295085006
11,False,0.6326373603989858,-3.640110870080799,,5.789665907022,False,1.472386327345141,True,False,-26.99425671288712,False,1.0,0.47712125471966244
12,False,0.5083856403990099,-1.9964647498540333,,6.037027292416477,False,1.46628507934222,True,False,-15.079199842740984,False,1.0,3.030194785356751
13,True,0.07669033583195005,-4.70971205392727,0.0,5.883021599921536,False,2.2601315669347333,True,True,1.1647922332185225,False,0.875,0.9542425094393249
14,False,0.225599845019981,-3.411416373944386,,5.6647117718982765,False,1.970333455997958,True,False,-30.926740223301188,False,1.0,0.3010299956639812
15,False,0.7598341671517833,-3.073747997502561,,5.931451051233463,False,1.392030605511814,False,False,-320.0,True,,0.0
16,False,0.811664291668445,-2.1767223209322912,,5.968669012937628,False,1.313244237588504,False,False,-320.0,True,,0.0
17,False,0.6584758947596949,-3.4047868333107605,,5.62395411245326,False,1.303330532989194,False,False,-320.0,True,,0.0
18,True,0.05177523806141563,-5.7971233376934475,0.0,5.371904686225342,False,2.291164865309385,True,True,1.2067884221691558,False,1.0,0.3010299956639812
19,False,0.7028994615019776,-2.9832251977360866,,5.831653950658057,False,1.3964742997298527,False,False,-320.0,True,,0.0
20,False,0.6270991561628798,-3.1897668151882206,,5.852257603087637,False,1.3102564560944272,True,False,-29.381826681951168,False,1.0,0.3010299956639812
21,False,0.1976861850908473,-3.188080358815326,,5.743103529714792,False,1.9623433881327998,True,True,0.376610104957685,False,1.0,2.91539983521227
22,False,0.5166619644431172,-3.702689463834077,,5.93938719277481,False,1.5353942966240477,False,False,-320.0,True,,0.0
23,False,0.26415716435070646,-4.436307903413656,,5.601357959238032,False,1.6790537520890516,True,True,-1.428786964688665,False,1.0,1.5185139398778875
24,False,0.5110516541159379,-2.454897341333769,,5.809384728666271,False,1.5674535251324222,True,False,-25.272586962523416,False,1.0,0.8450980400142568
25,False,0.7876068797542577,-3.265100107507161,,5.762230795840905,False,1.365056377479694,False,False,-320.0,True,,0.0
26,False,0.765196914254093,-1.8812396521833876,,5.934871445257837,False,1.3893547340728671,True,False,-30.821309301856743,False,1.0,0.47712125471966244
27,False,0.25351842772021593,-2.7852364866608155,,5.829382877355477,False,1.5908449894973868,True,False,-14.772061812938624,False,1.0,0.6989700043360189
28,False,0.29426386924675446,-3.9233213605505317,,5.783770869230535,False,1.726827135605701,True,True,-1.9076845674994924,False,1.0,2.292256071356476
29,False,0.4811541790484993,-2.835131288874637,,5.58518167625299,False,1.4142078267637044,True,False,-19.924879790986413,False,1.0,2.1760912590556813
30,False,0.5521751860863394,-3.6650949222372486,,5.604427708380384,False,1.4697493309202412,True,False,-25.524275107928457,False,1.0,0.3010299956639812
31,False,0.5329443638258717,-2.9436838723963636,,5.786352334509225,False,1.5065082661660487,True,False,-23.282654744191294,False,1.0,1.380211241711606
32,False,0.3973842002238321,-4.094568915519391,,5.7916626957107615,False,1.6605722036701103,False,False,-320.0,True,,0.0
33,False,0.46865436040450775,-3.202090948463977,,5.711188792849792,False,1.524470833253248,True,False,-19.053560772775693,False,1.0,1.9084850188786497
34,False,0.47276717863145035,-2.984172843260819,,5.995561093655371,False,1.4704075852596183,True,False,-11.624076692161173,False,1.0,2.3521825181113627
35,False,0.24067733777513245,-4.161969989071026,,5.375747364164099,False,1.6633511341171778,False,False,-320.0,True,,0.0
36,False,0.6289352081674403,-3.8929827117448528,,5.703502695920895,False,1.5362183180151936,False,False,-320.0,True,,0.0
37,False,0.6740136324183335,-3.69378849836133,,5.7855816696480495,False,1.3911848365772288,False,False,-320.0,True,,0.0
38,False,0.4478977472822495,-3.3745894605106987,,5.842087998941496,False,1.4971056336913224,True,False,-19.315638876468253,False,1.0,1.7075701760979363
39,False,0.8469102061932949,-2.78722449854491,,5.861574421025098,False,1.353785755867036,False,False,-320.0,True,,0.0
40,False,0.7471273505036099,-3.0879626817184134,,5.712131855786175,False,1.3139305246160555,False,False,-320.0,True,,0.0
41,False,0.6634561535153513,-2.799461097937964,,5.856281604326543,False,1.4574081339116773,True,False,-31.25922292122947,False,1.0,0.47712125471966244
42,False,0.7069311847838242,-2.252240226046816,,5.73285832544742,False,1.393196532733478,False,False,-320.0,True,,0.0
43,True,0.03659423613527266,-6.513238028939162,0.0,5.681658795221251,False,2.7707170021556835,True,True,1.2076523456658235,False,1.0,0.3010299956639812
44,True,0.05219808058015168,-5.992495950694851,0.0,5.688171541607753,False,2.622392793326703,True,True,1.206791598837861,False,1.0,0.3010299956639812
45,False,0.42721952524617274,-2.7633412427371953,,5.838363728693984,False,1.6138879706518223,True,False,-11.025373868677768,False,1.0,2.7551122663950713
46,True,0.15043202575195475,-2.7857394572725966,0.0,6.1450209934713245,False,1.9016314241780496,True,True,0.9616694846458502,False,1.0,3.204662511748219
47,False,0.5159663553730434,-3.9510647488652353,,5.697564070383997,False,1.5443223244206483,True,False,-22.41632207357378,False,1.0,0.6020599913279624
48,False,0.24505088135989694,-4.170260962134805,,5.534577376595592,False,1.741242847107265,False,False,-320.0,True,,0.0
49,False,0.8442224243523626,-1.7920764797856883,,5.939251181494321,False,1.3240984846149282,False,False,-320.0,True,,0.0
50,True,0.03081996370461182,-5.704179103628412,0.0,5.3631798088483045,False,2.613560840509575,True,True,1.2072981780160648,False,1.0,0.3010299956639812
