event_idx,C1_in_catalog,C4_z_gw,C5_log10_sky_area,C8_cone_outside,C10_log10_M,C10b_low_M_timeout_bins12,C11_log10_snr,C2_hosted_exact,C3_hosted_rel,C3c_log10_f_cat,C3c_censored,C6_mass_window_retention,C7_log10_n_cand_1d
242,False,0.3556280819335882,-4.269213626314189,,5.573266645266602,False,1.6326431469615357,True,True,-2.2082545272794865,False,1.0,1.462397997898956
243,False,0.5029649769086746,-2.6472562166583224,,5.910357449734225,False,1.4892959440133318,True,True,-4.858186504373848,False,1.0,2.484299839346786
244,False,0.501005590685526,-3.3377299066352637,,5.668489173703831,False,1.5176197591748564,True,True,-5.655159668435369,False,1.0,1.462397997898956
245,False,0.6434811766589644,-2.6235547765181,,5.763172779534006,False,1.5137102766668038,True,False,-14.390775187229504,False,1.0,1.7634279935629373
246,False,0.3913541379634334,-3.9169207942758293,,5.708169609326503,False,1.5865819014950695,True,True,-1.9571698720937307,False,1.0,1.5185139398778875
247,False,0.8830189658722276,-2.2081160472802726,,5.9027276794848715,False,1.330948791314763,False,False,-320.0,True,,0.0
248,False,0.2739590073488571,-4.236645449450205,,5.987656126483012,False,1.90850760662097,True,True,-0.12599839201079935,False,0.9859154929577465,1.8573324964312685
249,False,0.25307288204244155,-3.5314431660583123,,5.66322896408691,False,1.6345837929135385,True,True,0.0030195922774755185,False,1.0,2.6720978579357175
250,False,0.5612461970399539,-2.169177585790057,,5.7707306723237615,False,1.3429668421327263,True,False,-8.823124372130984,False,1.0,2.510545010206612
251,True,0.1052223081372944,-4.1349830864053105,0.0,5.894612270002614,False,1.8738735684487358,True,True,1.0536270765937226,False,0.9,1.4913616938342726
252,False,0.8343585668699272,-2.385559492388763,,5.816706596448862,False,1.30459928651073,True,False,-33.14582187926813,False,1.0,0.3010299956639812
253,False,0.8261285697376309,-2.5743548360155897,,6.0327571208025015,False,1.337917625334916,False,False,-320.0,True,,0.0
254,False,0.5266725054587076,-3.0663251084167458,,5.951998941179303,False,1.4232050099939946,True,False,-12.588625933523161,False,1.0,1.255272505103306
255,False,0.4649451146080638,-3.3891057035950767,,5.80101520370486,False,1.737091972868475,True,True,-4.703707498232976,False,1.0,1.6334684555795864
256,False,0.1848618312511595,-3.1413881189493758,,5.95994688534809,False,2.0463239483735776,False,False,-320.0,True,,0.0
257,False,0.2990237474185295,-3.7981298173158553,,5.788342374303047,False,1.748466755549058,True,True,-0.5613976134161918,False,1.0,2.2576785748691846
258,False,0.4353108637023942,-3.0645859164782316,,5.631013767580439,False,1.5483613620174925,False,False,-320.0,True,,0.0
259,False,0.2750552817907753,-4.201997997856991,,5.38543423172478,False,1.7478497060497704,False,False,-320.0,True,,0.0
260,False,0.6012798732638954,-3.0560393842408153,,5.977000815655104,False,1.5538514854046968,True,False,-9.948912373946452,False,1.0,1.568201724066995
261,False,0.29377543877828033,-3.1891767752778217,,5.481335858053579,False,1.4755678892134725,False,False,-320.0,True,,0.0
262,False,0.6079555575378727,-3.1376574284842214,,5.684159440253092,False,1.3911649865905154,False,False,-320.0,True,,0.0
263,False,0.8906685349669022,-3.207344294665192,,5.631631370798812,False,1.3101059472722865,False,False,-320.0,True,,0.0
264,False,0.4227258332498681,-3.972656550365228,,5.816800356038837,False,1.712589453696101,True,True,-2.5211303541130725,False,1.0,1.505149978319906
265,False,0.5943255293990019,-1.9599494592679259,,5.716978268518012,False,1.4170146390523228,False,False,-320.0,True,,0.0
266,False,0.5110817036791527,-2.3911108511161148,,5.645733496421823,False,1.4852700606497906,True,True,-4.647147401479318,False,1.0,2.8260748027008264
267,False,0.2563942458173948,-3.6080555326248858,,5.604541430000216,False,1.7600737930343,True,True,-0.17737627953399165,False,1.0,2.326335860928751
268,False,0.47173193258957974,-2.118102031217654,,5.380530821861362,False,1.3368198424231543,True,True,-5.563174820772106,False,1.0,2.7671558660821804
269,False,0.6005341325269392,-3.2243504202779416,,5.568097695535578,False,1.3409869526521347,True,False,-7.513265547852881,False,1.0,1.662757831681574
270,False,0.07502668153057561,-4.783737164954728,,5.927744880848385,False,2.45601437021305,False,False,-320.0,True,,0.0
271,True,0.0935895032870617,-4.960202633558908,1.0,6.020961125666648,False,2.49049653277911,True,True,1.1215150764597126,False,1.0,1.0413926851582251
272,False,0.5187470268712349,-3.5623785770290124,,5.4332267371692335,False,1.3011756713900653,True,True,-5.676016387804766,False,1.0,1.2304489213782739
273,False,0.2553418894264158,-3.9767070352205547,,5.559016452424886,False,1.8045193374174062,False,False,-320.0,True,,0.0
274,False,0.26173840054318015,-3.103779541117373,,5.345944083419918,False,1.4747658820841472,True,True,-0.19503165307202658,False,1.0,3.0132586652835167
275,False,0.499089849300599,-2.9522918330410857,,5.676759428464924,False,1.3988815903631722,False,False,-320.0,True,,0.0
276,False,0.23928397603286214,-4.50545648586004,,5.610747434316814,False,1.879290739082366,True,True,0.08046137267067974,False,1.0,1.4771212547196624
277,False,0.4390458585879092,-3.2627550456021823,,5.999629941967544,False,1.7035608965088076,True,True,-3.138813035703289,False,1.0,1.9867717342662448
278,False,0.49640213057643523,-3.781915162822941,,5.900638314168893,False,1.4924859195387759,False,False,-320.0,True,,0.0
279,False,0.5054725696824826,-3.255377112272528,,5.518936211456198,False,1.3326523258874625,True,True,-5.464726995282062,False,1.0,1.919078092376074
280,True,0.05619307189645199,-4.59785501434862,0.0,5.37367050400614,False,2.35534604416215,True,True,1.1442282376980584,False,0.9166666666666666,1.1139433523068367
281,False,0.7641784353781894,-2.130979616192287,,5.707324235903598,False,1.3043991861008244,True,False,-14.831602014665568,False,1.0,1.5563025007672873
282,False,0.40966909681722513,-4.0835180299879905,,5.76366586434096,False,1.7480855027255076,True,True,-3.2427648851142794,False,1.0,1.3424226808222062
283,False,0.3735714118519177,-2.789467971058026,,5.907155870509911,False,1.4170866625050382,True,True,-2.0764319855008684,False,1.0,2.9180303367848803
284,False,0.3800863332144341,-2.4319185503249043,,5.790908123610722,False,1.6144297374865337,True,True,-3.932253519711917,False,1.0,2.558708570533166
285,False,0.32988149846736986,-1.9915037054399087,,5.799989966247345,False,1.418230315326049,False,False,-320.0,True,,0.0
286,False,0.5913792818784016,-3.377796017035421,,5.646709712237198,False,1.439682542463805,False,False,-320.0,True,,0.0
