event_idx,host_galaxy_index,stellar_mass_1e10_Msun,host_redshift,BH_mass_Msun,sigma_M_Msun,sigma_M_fractional,sigma_M_dex,ds
386,16381980,4.0,0.169719,10768692.872787867,8514117.742161242,0.7906361378061155,0.3433689118424949,-0.3968836034033526
396,17526254,0.3,0.117321,709540.708756878,701729.1079433118,0.9889906234876189,0.4295131704347294,0.28461591359629745
434,7993503,1.0,0.166796,2511886.431509587,2247225.256107703,0.8946364883053933,0.38853569018033535,-0.6255225338016142
442,16559547,2.0,0.22960199,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.5526369051159103
465,19033781,0.8,0.148956,1987213.3054627255,1829073.2001023148,0.9204211722386855,0.3997338361301836,1.5865166842221599
474,17747270,3.0,0.098200999,7961177.69303711,7326278.001474126,0.920250531260184,0.3996597276948338,-0.5047606735653072
576,5771975,0.02,0.019948,41312.501770996714,156291.61459765988,3.7831554105344405,1.6430035189775387,-1.0581128567064715
610,12887695,1.9,0.229385,4928233.550586981,3880710.796097938,0.7874445795361551,0.3419828356971784,-0.7173573978278107
619,18601524,2.0,0.21129,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.3735888665463702
640,12834654,1.2,0.182982,3041867.608939257,2326826.8958452432,0.7649336509607797,0.33220646363437467,-0.8336711492932016
656,10318280,5.0,0.234589,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-0.2110396687424294
697,14936074,0.2,0.098885,463533.8938044081,591255.4174405894,1.2755386938114055,0.5539594161763749,-0.19912025570487646
744,4134762,5.0,0.1178599999999999,13611892.310650198,13952919.731515938,1.025053637883905,0.445175138587834,-1.868405271846461
765,9747470,2.0,0.203655,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.6647471143095268
777,5259568,0.04,0.025466001,85538.76799929526,214523.5688652946,2.5079104350329433,1.0891716630423909,-0.655856934902665
816,1790333,1.0,0.062624,2511886.431509587,5510986.3493773155,2.193963182509544,0.9528261036627919,-0.7384505576235151
882,9369135,1.3,0.20965099,3308571.465756485,2972567.863595078,0.8984445082601286,0.39018949223365434,-0.933895669541939
883,15745147,5.0,0.28987801,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-0.7830540496225773
888,6546560,3.0,0.2492199999999999,7961177.69303711,5511993.34490642,0.6923590400107813,0.30068771057251503,-2.364677498448662
889,859360,0.3,0.0221785310893,709540.708756878,701729.1079433118,0.9889906234876189,0.4295131704347294,0.9676270616677556
900,14949854,2.0,0.21048599,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-1.1026715839276935
904,12265839,2.0,0.140901,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-3.0389450418608606
910,16860066,0.1,0.073169,223872.11385683485,291758.99489010876,1.3032395587986776,0.5659897489842941,-1.8092093786052017
946,19337626,1.5,0.17213701,3844995.3773653232,3395307.60996246,0.8830459536960485,0.3835019849571883,-1.9285707533567713
981,15789446,2.0,0.1293619999999999,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,0.9417668924790228
1030,9517996,0.6,0.116104,1469125.215627091,1609829.687513455,1.0957743222903602,0.4758887415819788,-0.32427518631568086
1034,8976784,0.6,0.140689,1469125.215627091,1413032.9861542701,0.9618192997600425,0.4177128144738361,-0.41022217864306004
1036,8876070,1.0,0.188528,2511886.431509587,2247225.256107703,0.8946364883053933,0.38853569018033535,-0.6576622392451266
1061,11551111,7.0,0.26802099,19379962.93080633,16224406.858715426,0.8371742978375443,0.36358017794207487,-1.3816364618911323
1100,9091384,1.3,0.19774701,3308571.465756485,2972567.863595078,0.8984445082601286,0.39018949223365434,-0.7927205379658624
1121,2703833,0.3,0.113776,709540.708756878,894866.2758100418,1.261190886958207,0.547728242832617,-1.3613557249954042
1130,16721267,0.5,0.096175,1213161.179164252,1302955.3609249361,1.0740166956401815,0.4664395243884951,-1.5858283148647332
1202,6058492,6.0,0.264961,16483856.036139512,12959538.920472031,0.7861958325806351,0.3414405117851026,-0.2899230889379819
1210,8573165,2.0,0.13514,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.3054266075773523
1247,17625658,5.0,0.23435301,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-0.4018614492686363
1251,6438311,3.0,0.219451,7961177.69303711,7326278.001474126,0.920250531260184,0.3996597276948338,-0.020590901331729583
1285,12731114,0.2,0.072490998,463533.8938044081,591255.4174405894,1.2755386938114055,0.5539594161763749,-1.0219543178331838
1310,7086442,0.4,0.105728,959760.7625346358,999648.6734767877,1.0415602642858746,0.4523438753490479,-0.49898994111305894
1317,17480943,0.1,0.046479002,223872.11385683485,500890.19617228303,2.2373943209943508,0.9716880074495193,-0.4544880777185507
1322,12880143,3.0,0.249291,7961177.69303711,5511993.34490642,0.6923590400107813,0.30068771057251503,-0.6106111792988139
1324,1617380,4.0,0.13828065914,10768692.872787867,10603946.429873087,0.9847013518854187,0.4276503634465096,2.2373329368889454
1334,18308280,5.0,0.22933599,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-1.2103886201385794
1336,14351320,0.7,0.167788,1727241.0143078375,1530230.8603857222,0.8859393956661782,0.3847585908385229,-0.44817280034941076
1342,15108379,0.9,0.16612101,2248819.6886601276,2132800.94194093,0.9484090488427186,0.4118888164995043,-0.49536388413713395
1379,11898456,0.5,0.12624399,1213161.179164252,1302955.3609249361,1.0740166956401815,0.4664395243884951,-1.0206700658205383
1473,14038476,0.9,0.16372199,2248819.6886601276,2132800.94194093,0.9484090488427186,0.4118888164995043,-1.8069295307173034
1476,5739960,5.0,0.22330301,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-0.5242752784564426
1484,7571019,2.0,0.2359369999999999,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.7739737754599567
1509,7300092,0.1,0.038178001,223872.11385683485,291758.99489010876,1.3032395587986776,0.5659897489842941,-0.8042341874133989
1513,4368917,3.0,0.1950339999999999,7961177.69303711,7326278.001474126,0.920250531260184,0.3996597276948338,-0.5492118824097497
1536,1563561,4.0,0.114710247355,10768692.872787867,10603946.429873087,0.9847013518854187,0.4276503634465096,-0.24491340659751315
1541,6865507,1.1,0.1252,2776273.958490299,2750352.9424427445,0.9906633796105446,0.4302396391884859,-0.5473093100730959
1545,13413468,0.8,0.153883,1987213.3054627255,1653256.459551448,0.8319471568586769,0.36131005945882244,2.325109970345982
1574,6341157,0.9,0.123969,2248819.6886601276,2132800.94194093,0.9484090488427186,0.4118888164995043,-0.3063447958817631
