event_idx,s1d,s2d,ds,cat_e,g_e,c_prime,in_catalog,SNR,log10_SNR,sigma_dL_over_dL,z_e,m_e,ln_M_ratio_signed
0,-0.2790817853236758,-0.13054769722629078,0.148534088097385,False,0.1568242,1.0,False,24.03644747981824,1.3808702805553317,0.052954172972962676,0.4568686979169109,0.3420135972408745,-0.3420135972408745
1,-0.8706556365676069,-0.6665658266827629,0.20408980988484404,False,0.13751805,1.0,False,24.490531916218693,1.3889982177817142,0.05409489886005842,0.8145799497264308,0.1897258905265589,0.1897258905265589
2,-0.030934175247132573,0.09423524299716482,0.1251694182442974,False,0.098659355,1.0,False,56.20607173499768,1.7497832333372374,0.017887771407169614,0.3462318239567731,0.6534976644685946,0.6534976644685946
3,-0.03838147600321303,0.08748283000343796,0.125864306006651,False,0.15049475,1.0,False,44.81856820938026,1.651457978287893,0.022512398505729198,0.34924377753876457,0.3261366928614292,-0.3261366928614292
4,-0.3827126913214848,-0.21388219306759362,0.16883049825389115,False,0.1653568,1.0,False,26.88482889240888,1.4295072767692805,0.041837176195829814,0.5375264658282739,0.40965261748911175,-0.40965261748911175
5,0.026717188726088612,1.3525943588376765,1.325877170111588,True,0.16854285000000002,0.9999859259527174,False,21.27149176432157,1.3277979479325983,0.04764855966719156,0.29149631060477726,0.6343248352508208,-0.6343248352508208
6,-0.963497815235236,-0.7507213341978229,0.2127764810374131,False,0.1394354,1.0,False,21.143873256925342,1.325184546832748,0.04857685724124319,0.8847404548896524,0.1964687989106661,0.1964687989106661
7,-0.48498414790514266,-0.3167852798540591,0.16819886805108358,False,0.13472285,1.0,False,35.85958303824084,1.5546052354424509,0.028110267695876493,0.5654926375111547,0.08530215013849218,0.08530215013849218
8,-0.6160588900522063,-0.43522647754912175,0.18083241250308452,False,0.1097611,1.0,False,31.256530110640853,1.4949407639120764,0.03259465130384019,0.6450349486990355,0.6130019072800019,0.6130019072800019
9,0.10260710560450183,0.2590105679674435,0.15640346236294167,False,0.1477744,1.0,False,33.35326184303668,1.5231383129500158,0.03030969379786875,0.414396295426589,0.2346508370390076,-0.2346508370390076
10,0.31718386009718075,0.4775681280895223,0.16038426799234157,False,0.1150504,1.0,False,26.00916506713656,1.4151264109211554,0.04420650450592134,0.402650228017858,0.33913791441258523,0.33913791441258523
11,-0.5953189949371657,-0.4163896045692002,0.17892939036796546,False,0.13806845,1.0,False,29.67469933375374,1.472386327345141,0.03364025432429603,0.6326373603989858,0.0716206842995117,0.0716206842995117
