event_idx,s1d,s2d,ds,cat_e,g_e,c_prime,in_catalog,SNR,log10_SNR,sigma_dL_over_dL,z_e,m_e,ln_M_ratio_signed
0,-0.2535929910387311,-0.10624225268314182,0.14735073835558932,False,0.15711435,1.0,False,24.03644747981824,1.3808702805553317,0.052954172972962676,0.4568686979169109,0.3420135972408745,-0.3420135972408745
1,-0.8376908840802991,-0.6355112013448844,0.20217968273541476,False,0.13786749999999998,1.0,False,24.490531916218693,1.3889982177817142,0.05409489886005842,0.8145799497264308,0.1897258905265589,0.1897258905265589
2,-0.008509424607749942,0.11576684720377974,0.12427627181152967,False,0.09881323,1.0,False,56.20607173499768,1.7497832333372374,0.017887771407169614,0.3462318239567731,0.6534976644685946,0.6534976644685946
3,-0.01586560916577716,0.1090970489636688,0.12496265812944596,False,0.15073075000000002,1.0,False,44.81856820938026,1.651457978287893,0.022512398505729198,0.34924377753876457,0.3261366928614292,-0.3261366928614292
4,-0.37267136410596946,-0.1960663593391308,0.17660500476683866,False,0.1656931,1.0,False,26.88482889240888,1.4295072767692805,0.041837176195829814,0.5375264658282739,0.40965261748911175,-0.40965261748911175
5,0.17352250478617198,1.3030551494360931,1.1295326446499212,True,0.16877704999999998,0.9982748741859876,False,21.27149176432157,1.3277979479325983,0.04764855966719156,0.29149631060477726,0.6343248352508208,-0.6343248352508208
6,-0.9293342415989773,-0.7185844285556791,0.2107498130432982,False,0.1398048,1.0,False,21.143873256925342,1.325184546832748,0.04857685724124319,0.8847404548896524,0.1964687989106661,0.1964687989106661
7,-0.45693650433387095,-0.2901696535754447,0.16676685075842623,False,0.1350051,1.0,False,35.85958303824084,1.5546052354424509,0.028110267695876493,0.5654926375111547,0.08530215013849218,0.08530215013849218
8,-0.5870828771708853,-0.40784324253899623,0.17923963463188902,False,0.1100083,1.0,False,31.256530110640853,1.4949407639120764,0.03259465130384019,0.6450349486990355,0.6130019072800019,0.6130019072800019
9,0.08079412278636504,0.2552328156047776,0.17443869281841257,False,0.1480321,1.0,False,33.35326184303668,1.5231383129500158,0.03030969379786875,0.414396295426589,0.2346508370390076,-0.2346508370390076
10,0.28569014512567187,0.4635656410141738,0.17787549588850193,True,0.1152472,0.9999151540385258,False,26.00916506713656,1.4151264109211554,0.04420650450592134,0.402650228017858,0.33913791441258523,0.33913791441258523
11,-0.5667073472589873,-0.389350052171222,0.17735729508776532,False,0.1383761,1.0,False,29.67469933375374,1.472386327345141,0.03364025432429603,0.6326373603989858,0.0716206842995117,0.0716206842995117
12,-0.29801746003681434,-0.1314922703054221,0.16652518973139224,True,0.1045522,0.9999967189213361,False,29.2607247844728,1.46628507934222,0.036414120361036875,0.5083856403990099,0.6411913228911886,0.6411913228911886
13,1.3770303059339448,0.4586360936661645,-0.9183942122677804,True,0.10450675000000001,0.04359197478171006,True,182.02522096909468,2.2601315669347333,0.005855105469004199,0.07669033583195005,0.28658011111611287,0.28658011111611287
14,0.32823627443439,0.4211505759700525,0.09291430153566249,False,0.13764474999999998,1.0,False,93.39711387004137,1.970333455997958,0.011832535675926225,0.225599845019981,0.21609684454433772,-0.21609684454433772
15,-0.7620436896428322,-0.566757734069378,0.19528595557345418,False,0.1243446,1.0,False,24.66213129577288,1.392030605511814,0.043518866596490326,0.7598341671517833,0.3980930437688365,0.3980930437688365
