event_idx,host_galaxy_index,chord,radius,outside,delta_theta,delta_phi,phi_var,theta_var,cov
13,15825929,0.0022684581583680024,0.002492120494349065,False,-0.0008022722487576184,-0.003667249494841762,5.145711908006405e-06,2.011948190176964e-06,1.520715800166026e-06
18,4491193,0.00015905257675610335,0.0007126288409717465,False,-0.00014684218381288971,0.00015818448238436034,1.4958813125160602e-06,5.2182971088959694e-08,5.3853283998256896e-08
43,16383069,0.0002612283077180862,0.00031246836084692216,False,-7.777095524083566e-05,-0.0020722736175002865,2.8081828741104683e-06,2.1313663070761172e-08,6.412436614516035e-08
44,9627782,0.00013287877749761125,0.0005690849341202865,False,-7.292060342622975e-05,-0.0001624998362932395,1.1859617277908313e-07,1.3604162143054756e-07,-3.867488900806605e-08
46,14272787,0.02227372393064552,0.022832598244648988,False,-0.022088326500363298,-0.002874711231618754,1.0259432115672232e-05,0.0002316971341397,-9.41318600339592e-07
50,9333203,0.0006277887810549017,0.0007931138096240928,False,0.0005595067765389317,0.00036042456778817566,7.987080726978947e-08,2.781821289217025e-07,2.258585356982652e-08
105,18150812,0.0059526680520858065,0.01087296411372805,False,-0.004984610080729368,-0.003325178451346389,6.963651939214212e-06,5.244925138367608e-05,2.11593222901658e-06
107,17297906,0.001316416019427833,0.005138660075364579,False,0.0011706112026659277,-0.0006029337197626106,2.6192347491763845e-07,1.1735688543053e-05,-5.196210491032058e-08
118,846453,7.376635932864756e-05,0.0003131928828018351,False,4.988793682247916e-05,-0.0012939620600596058,1.878001145556561e-05,2.0085858467284853e-08,3.728074487817146e-07
171,16037654,0.0008291002106623262,0.0022396406071841833,False,-0.0007710385976840151,0.00035170430196629354,4.400969811557986e-07,2.074842522968897e-06,6.250999436394857e-07
187,13997426,0.005119458184262366,0.011489609899101524,False,0.0051010508591384784,0.00043743305496679596,4.729072497803224e-06,5.8492838398382886e-05,3.132529406346039e-06
189,2253671,0.0004034610793900968,0.0007098466405659776,False,0.0003941920471861593,-0.00017342218516880337,2.909315440317147e-07,2.195529415810743e-07,-5.217437763614872e-08
201,17597803,0.006000442880150213,0.007783217805094769,False,-0.005325548402030256,-0.003000550051464046,3.927611816877329e-06,2.685353291461924e-05,1.3951516650966777e-06
211,16298760,0.0007577434169000175,0.003512597409943196,False,0.00037666146037346193,0.0015241041698716984,1.0882255599688936e-05,3.572951933190556e-06,5.9626171468602005e-06
231,9688037,0.051130109918731174,0.04063312678685561,True,-0.05094971900722345,0.004358375807871795,6.90702266928225e-05,0.0007336326217653,-1.0573806146066898e-05
251,11810492,0.0015476703188391303,0.004829848635597187,False,0.0005297383776480813,0.003628271365816893,4.5902277540651216e-05,9.746944153552084e-06,3.4088477203002352e-06
271,12634004,0.0019469930661867372,0.0018677715110984711,True,0.001820603272904009,-0.0007065913834138904,5.557028545866936e-07,1.5184262034435016e-06,1.851218957262684e-07
280,14093955,0.0004510063775682794,0.0028346376845942685,False,0.000448000407282545,-6.403785710196175e-05,8.96018382316888e-08,3.557574727855403e-06,2.693925016701305e-07
292,10260391,0.019541066916346838,0.046237988704949586,False,0.01091790981763463,-0.016255380797391528,6.846137103032984e-05,0.0009482335672408,-4.180101362863228e-05
298,15635150,0.0007236965070345902,0.0004204467950061526,True,-0.0007228932269166544,4.061086633022626e-05,6.586506625344168e-08,7.072583933741877e-08,-1.890697665317348e-08
361,6384844,0.0016206693564762165,0.006039232288223001,False,0.0015626185190336095,0.0006410151468427827,1.518310631079166e-05,9.572430303956396e-06,1.1749480398603952e-05
383,10196895,0.018398744591225424,0.021995426727241998,False,-0.018391052077457726,0.0005445292342565189,5.065023089773718e-06,0.0002149989198559,-2.1991172173469463e-06
386,16381980,0.0007091288468793133,0.0015072172554553987,False,0.00027342146031557324,0.006161837578924523,8.464564872244709e-05,5.646426877231455e-07,1.510672811129666e-06
396,17526254,0.0028975888897778165,0.0031455398255079738,False,-0.0008664194308756756,0.010467410223873319,4.026277253091091e-05,3.8206900212912114e-06,3.6073326103680135e-06
434,7993503,0.00047097483250640835,0.0022400192647764805,False,-0.00044156331899292134,0.0001737078085994881,4.631976102563475e-07,2.2109507398314893e-06,-1.9773407275952014e-07
442,16559547,0.0001575815057094733,0.001128302842385194,False,0.0001367617901557594,-0.0001121613699899271,3.514850838617668e-07,5.199189403320342e-07,-1.927796387072102e-07
465,19033781,0.0014118354335842188,0.001921429581979742,False,0.0011753411437550598,-0.0009475242267189543,7.625017004576677e-07,1.5319012633939357e-06,-4.235995100829932e-07
474,17747270,0.0008348699748334028,0.003645464443865573,False,-0.0007898423445436009,0.00028293688369895875,1.4292007232051795e-06,5.906192890934423e-06,3.2673420295462475e-08
576,5771975,0.000854548749730344,0.0029949677208466964,False,0.00046291744941351354,0.00699495160142849,0.0001737817288784,3.5704959385361683e-06,9.181099598062022e-06
610,12887695,0.010847441621727816,0.02485048602694042,False,-0.010054011876115654,0.004160302899778756,3.8347832961307057e-05,0.0002743457628939,5.436401412783508e-06
619,18601524,0.0003527960350777456,0.001502649418069641,False,8.698018393760165e-05,-0.0004035005905276279,3.256952918156849e-07,9.942222238064308e-07,9.991593364828933e-08
640,12834654,0.00416431754047832,0.009834501887083222,False,0.0028189678110439598,-0.0031701663118854917,3.4126152839943377e-06,4.251176051563847e-05,4.489067202294813e-06
656,10318280,0.0004206335438469597,0.0004047355581733729,True,0.00031598200940163856,0.00030106454786560377,3.967697654096449e-08,7.274723132547241e-08,1.6262726418211e-09
697,14936074,0.002673538583072256,0.0027616379475818055,False,0.0005532114017452461,-0.00891883013040573,3.59880517659997e-05,1.528571774816223e-06,-2.549308515806321e-06
744,4134762,0.026921465129208042,0.05171629975583909,False,0.002426888989985443,0.026983000934690082,0.000152810064807,0.0011874658913795,-3.602519550833835e-05
765,9747470,0.0013508261221703145,0.0026561749213600654,False,0.0013494634107180659,-6.541407929461229e-05,4.597707515059154e-07,3.1356724072668563e-06,1.8028180049871358e-09
777,5259568,0.03494603080847579,0.04912876226941524,False,-0.03383622407635589,0.0089752091712203,0.0002333894288886,0.0010531145799225,0.000131983069708
816,1790333,0.024815936452150137,0.01595296120507423,True,-0.02259263652021337,0.01569771289803601,0.0001152096423032,0.0001117695531738,-1.4466863530155717e-05
882,9369135,0.0006185740405415679,0.002744267590403586,False,-0.00020231509505030942,-0.0006290938524888823,7.642446244765058e-07,3.342096473745881e-06,1.2496147455422176e-07
883,15745147,0.0011667202647087608,0.0009123331075700167,True,0.0011649025323724471,0.00011865453026871364,6.617619026979462e-07,3.674785547095386e-07,3.738711510498362e-08
888,6546560,0.0017135476947472696,0.0021566084145303857,False,0.0006824216081868784,0.002999859960257645,4.709005469439557e-06,1.5457718047828186e-06,1.2108076768868217e-06
889,859360,6.644486638864093e-05,0.0002201341751544876,False,3.225595620515165e-05,6.351730552056623e-05,1.5914719630171943e-08,2.0071080316465e-08,3.797384440737038e-09
900,14949854,0.0009044550533788679,0.0007041566198686003,True,-7.01405384618825e-05,0.0012177398850674592,3.772444569669545e-07,1.211598585904071e-07,4.942593191725004e-08
904,12265839,0.0008410593955731168,0.0015919925973896778,False,0.00036840410083982533,0.0009175409273005641,1.01564611089243e-06,1.0426963594293862e-06,2.319845178177637e-07
910,16860066,0.010545468933759036,0.01111497271058901,False,0.010282163618425821,-0.0023432607333253586,4.593670110561289e-06,5.474127620673683e-05,2.897057221808941e-06
946,19337626,0.0037365689687780344,0.0035292136651368846,True,-0.003723897098041551,-0.00030809558282118843,2.213385952384067e-07,5.527373452199274e-06,2.108945887491674e-07
981,15789446,0.0028925506109456307,0.003930535261142512,False,0.002870872035570904,-0.00046024543132183737,4.807681784994654e-06,6.570833086772112e-06,1.423688074021116e-06
1030,9517996,0.0005518633502562196,0.0006848684685945004,False,-0.00045620679082425397,-0.0004766132970090986,2.487553873102107e-07,1.5733996629414877e-07,1.1136609526983197e-07
1034,8976784,0.0003144296702829723,0.001801829248342144,False,6.651793033163322e-05,0.00031001251716533673,1.4720373704179464e-07,1.4376019767751984e-06,-8.388662337368016e-08
