bin,edge_lo,edge_hi,n_kept,n_timeout,denom,rate,rate_garwood_lo95,rate_garwood_hi95,se_approx_from_garwood
0,0.05000128114607985,0.08048083859815598,672,233,905,0.2574585635359116,0.22545918709390336,0.29272631317290326,0.01716029633171831
1,0.08048083859815598,0.10927054536561712,651,253,904,0.27986725663716816,0.2464408742649433,0.3165628196244554,0.017888579932976354
2,0.10927054536561712,0.13821830500768573,653,252,905,0.27845303867403315,0.24513175976092294,0.31504001817240296,0.017834066955178772
3,0.13821830500768573,0.16881553943906852,667,237,904,0.26216814159292035,0.22985040245446445,0.29775727966741816,0.017323501149243994
4,0.16881553943906852,0.19988153327910718,684,221,905,0.24419889502762432,0.21306236670036918,0.27860565796139025,0.01672053447436307
