bin,edge_lo,edge_hi,n_kept,n_timeout,denom,rate,rate_garwood_lo95,rate_garwood_hi95,se_approx_from_garwood
0,10.000753793277148,11.400286962597344,667,238,905,0.26298342541436465,0.23063110710965815,0.29860338289143123,0.017340184764050026
1,11.400286962597344,12.586043251646046,666,238,904,0.26327433628318586,0.2308862300157529,0.29893369636808104,0.01735936638436424
2,12.586043251646046,13.653349371080477,671,234,905,0.2585635359116022,0.2264932701879294,0.29390202615985817,0.017196427070070873
3,13.653349371080477,14.820190225137154,675,229,904,0.25331858407079644,0.2215692164255978,0.28834054535009923,0.017033815142650947
4,14.820190225137154,15.999516863531062,648,257,905,0.2839779005524862,0.25031711930820494,0.3209037284502283,0.018007118789432702
