event_idx,es_null_det
0,0.05396863089148927
1,0.04827535156211426
2,0.05666324100568868
3,0.03826464391163968
4,0.05384311498370311
5,0.05398976414534666
6,0.05048184745152218
7,0.01267503288442313
8,0.0526103489200295
9,0.05091455369999399
10,0.04445115779962714
11,0.054327939304779575
12,0.048915797617274076
13,0.05525997303466321
14,0.05399995615227593
15,0.02276873961696414
16,0.04524685041526149
17,0.05387648717284589
18,0.024855714541156926
19,0.03445490092143771
20,0.029144768709166522
21,0.03266725194934957
22,0.05273243578411336
23,0.011166908145078659
24,0.05571605775595255
25,0.04908644466791027
26,0.04453285313206531
27,0.029777155022568134
28,0.053655940191777315
29,0.05806527515775906
30,0.05518576315089756
31,0.04013103432635666
32,0.02268315943060639
33,0.044597562784611695
34,0.04687596506683123
35,0.052388536070416505
36,0.04965986394997812
37,0.04524458118582394
38,0.045100763155368484
39,0.012855872190487472
40,0.05153120495459533
41,0.02886480960555955
42,0.052134937046835694
43,0.030725614556939725
44,0.05377382567588678
45,0.050960179073704835
46,0.04320147493513033
47,0.037176515315613695
48,0.05557994885774836
49,0.044713504275697945
50,0.03134437366661543
51,0.02975201407200015
52,0.03674964085432231
53,0.05480884927994848
54,0.04851369813751641
55,0.010244253887415436
56,0.036434647113286076
57,0.047032641974139644
58,0.05573061121467521
59,0.05373123063693709
60,0.042295476098776735
61,0.020240202240118077
62,0.04400400858800295
63,0.01639548935709855
64,0.0316639613422311
65,0.05493722703081955
66,0.03332960721575463
67,0.018897442196508067
68,0.05354352672738982
69,0.03263456343057613
70,0.055347051271231414
71,0.056327108578320566
72,0.032510731400343267
73,0.054623563458345854
74,0.04599418782676939
75,0.048027652449853485
76,0.055921528782977
77,0.056112620373979814
78,0.008913842923815526
79,0.03639465334921027
80,0.05488476821144517
81,0.04195783247984671
82,0.0478961643360247
83,0.047767101529123196
84,0.0392060720638705
85,-0.005879811056378879
86,0.029509524736556086
87,0.0197668917919948
88,0.040225550595966414
89,0.05211219163947363
90,0.05045124924404561
91,0.05381100733511719
92,0.04609276170756113
93,0.029593330020498326
94,0.04754668693714654
95,0.045457598319574355
96,0.05230285966812917
97,0.05460286927071759
98,0.050705005524676855
99,0.05338753695424781
100,0.05320084378062019
101,0.03137640536845393
102,0.028787917061306238
103,0.021604493010504364
104,0.03914365171091165
105,0.041180087887515204
106,0.05298862093130603
107,0.055848887769721946
108,0.020662642238597012
109,0.04639205409732229
110,0.023602896429824938
111,0.05243304160847616
112,0.04969905394141367
113,0.03517830369605952
114,0.04504965148753851
115,0.05020590624454357
116,0.054270051135259074
117,0.04998371493453943
118,0.04326289777576858
119,0.05476892777667286
120,0.04196686285671623
121,0.04919171646262887
122,0.05235655415553003
123,0.04793359130444773
124,0.04528734760839903
125,0.05152958731607751
126,0.046820528497164705
127,0.04188889408562048
128,0.018210017502108527
129,0.0550654994413244
130,0.04904445859320725
131,0.02205446120333498
132,0.0547849591351737
133,0.05512806632868415
134,0.017486307690798005
135,0.0465004479058948
136,0.04963316980906802
137,0.03763281669307084
138,0.05461243207270292
139,0.05250715508053712
140,0.05639723214136176
141,0.03058508291260386
142,0.0539350381414354
143,0.04539596863128901
144,0.038103876455628
145,0.05218860846932488
146,0.05357113085334165
147,0.0517337756647989
148,0.04961138477846767
149,0.03693976949515772
150,0.03808785925537491
151,0.023556751534649163
152,0.016548688507301387
153,0.05111324339379619
154,0.04294156911004493
155,0.050878825252455344
156,0.052535112783109385
157,0.05509485992247991
158,0.03863113207501115
159,0.048653686949207096
160,0.02946417822686858
161,0.0538978398376402
162,0.05542720846738161
163,0.047089580767999406
164,0.05431518109387009
165,0.029442538998900022
166,0.05411640115755274
167,0.05200055584126177
168,0.053217581037136266
169,0.0543900153405958
170,0.051635878720238476
171,0.010408403759580496
172,0.04517691272618441
173,0.05162387044331846
174,0.05586210190110734
175,0.03681047712705574
176,0.03352523013831321
177,0.04882376664461581
178,0.04788381496078706
179,0.02916908040955845
180,0.048901773870306406
181,0.04471626584956551
182,0.03323530163074421
183,0.028794884013974852
184,0.03672900796491155
185,0.056286489947317796
186,0.04110499664293907
187,0.05575078368378309
188,0.058536415564454033
189,0.05630954635575282
190,0.040759703594854625
191,0.04754307367948269
192,0.02755634108736554
193,0.024836932059407915
194,0.04021423961507457
195,0.041210403406545915
196,0.057678297476410754
197,0.026294476578235425
198,0.054137322655370745
199,0.03044374381775597
