event_idx,h,d_hat,sigma_dL,z_true,host_galaxy_index,n_cand_no_bh,n_cand_with_bh,f_bar_z_true,f_k_z_true,L_cat_no_bh,B_num,D_tilde_phi
0,0.73,2.4835124867848566,0.0611747681171396,,-1,1413,1413,,,8.57954645399779e-05,58661466.28606375,947092103.9967711
1,0.73,2.229819647719481,0.0006791935789168086,,-1,23,23,,,0.005664806135143338,54010223.38180339,947092103.9967711
2,0.73,2.49659184178481,0.021489407121207414,,-1,28,28,,,0.003187743136485198,54230257.11802612,947092103.9967711
3,0.73,0.5629936908271269,0.0012194219863909915,,-1,5,5,,,0.0012527293133751866,5003447.948581958,947092103.9967711
4,0.73,2.2055189767003744,0.11026350328447124,,-1,1249,1249,,,0.0013446786116918781,53358522.81598751,947092103.9967711
5,0.73,4.3494896760227935,0.02746347096570825,,-1,0,0,,,0.0,29346793.956196975,947092103.9967711
7,0.73,1.082889005994884,0.003926539524136157,,-1,408,408,,,0.060682616871405144,12492979.338138638,947092103.9967711
8,0.73,3.07212281581786,0.13047218316964654,,-1,1249,1249,,,9.72881763831615e-07,52289232.06214208,947092103.9967711
9,0.73,2.0843359854023635,0.03902796932902607,,-1,182,182,,,0.0005859116645525093,43943202.576866105,947092103.9967711
10,0.73,4.002648429107769,0.12193848720748383,,-1,151,151,,,3.1952517265478934e-09,36706754.34403822,947092103.9967711
11,0.73,1.7241497568705475,7.984272873243278e-05,,-1,0,0,,,0.0,38371372.49893635,947092103.9967711
12,0.73,1.6979303229486524,0.0011210504250877432,,-1,0,0,,,0.0,29727758.955596756,947092103.9967711
13,0.73,2.0573658847433696,0.0059845206455131795,,-1,10,10,,,0.0014043327358999767,51557822.708667725,947092103.9967711
14,0.73,2.4540525587146886,0.062481252653297535,,-1,213,213,,,0.00038411590793631747,51876602.691229835,947092103.9967711
15,0.73,4.402251535654261,0.0011966546923011271,,-1,0,0,,,0.0,23208170.200945728,947092103.9967711
