arm,seed,event_idx,d_L_gpc,z_true,SNR,n_cand_no_bh,n_cand_with_bh,active_073,share_073,s_full,s_pure,s_imp
bsel,900101,0,2.4835124867848566,0.46043019945950286,31.71527396330816,,,True,0.00019468449835534897,-0.3015248638925658,-0.296456722685656,-0.005068141206909793
bsel,900101,1,2.229819647719481,0.42078275342381866,385.538769323715,,,True,0.014047675164141418,0.09024351595747762,0.07052706425267889,0.01971645170479873
bsel,900101,2,2.49659184178481,0.46244825137246626,81.67219967312538,,,True,0.007910503511236337,-0.29173746106396753,-0.17498636128698825,-0.11675109977697928
bsel,900101,3,0.5629936908271269,0.12513577613734914,158.93501165546587,,,True,0.032891898168203905,0.4162717629272446,1.15068368351947,-0.7344119205922255
bsel,900101,4,2.2055189767003744,0.4169322615901301,25.076941696857418,,,True,0.003246593968546909,0.06323000924730587,0.12551286841835363,-0.062282859171047755
bsel,900101,5,4.3494896760227935,0.7289506915375776,61.121842277459976,,,False,0.0,-0.9383694134003742,-0.9383694134003742,0.0
bsel,900101,7,1.082889005994884,0.22600098413762046,135.05974619098578,,,True,0.39752373989039136,0.0031298871495000187,1.983055551261124,-1.979925664111624
bsel,900101,8,3.07212281581786,0.5490226625014835,21.13513636457883,,,True,2.2222950337953957e-06,-0.5921732790943762,-0.5920925781372149,-8.070095716128378e-05
bsel,900101,9,2.0843359854023635,0.39758360390481173,49.2070697785198,,,True,0.001795402684087363,-0.08464351042953837,-0.04375519113861688,-0.04088831929092149
bsel,900101,10,4.002648429107769,0.6814703525717408,31.256530110640853,,,True,9.78354143085047e-09,-0.8535702990146269,-0.8535695531680202,-7.458466066978531e-07
bsel,900101,11,1.7241497568705475,0.33849445891977786,1424.7236072062765,,,False,0.0,0.690163042075475,0.690163042075475,0.0
bsel,900101,12,1.6979303229486524,0.334091948666804,270.0169486273753,,,False,0.0,-0.14766946509747733,-0.14766946509747733,0.0
bsel,900101,13,2.0573658847433696,0.39324313341251277,122.19849211982591,,,True,0.0036855116371886805,0.19244908219908635,0.2852569872693775,-0.09280790507029113
bsel,900101,14,2.4540525587146886,0.4558757277332963,37.433663811414256,,,True,0.0009850809596135628,-0.11126197064847955,-0.0880221998119434,-0.023239770836536153
bsel,900101,15,4.402251535654261,0.7360963803589139,276.148343063909,,,False,0.0,-0.9463366635251815,-0.9463366635251815,0.0
bsel,900101,16,3.203797849129275,0.5682775329838196,30.137970411072008,,,True,1.2771355720870167e-07,-0.6408237461758443,-0.6408164047267512,-7.341449093090091e-06
bsel,900101,17,2.1310904112740774,0.4050781323398941,27.17882033382198,,,True,0.003692164160396828,0.10934693084914117,0.18273834293358587,-0.0733914120844447
bsel,900101,18,4.609543136780752,0.7639855658059397,24.50760021645404,,,True,6.990634147850241e-14,-0.991912184976095,-0.9919121849681125,-7.982503547054876e-12
bsel,900101,20,2.1416165403222487,0.40676025902233415,56.29529508588652,,,True,0.004932135278327681,0.14843799811587996,0.19217570485938734,-0.04373770674350738
