arm,seed,channel,covariate,eta2,top_quartile,n
bt,900110,no_bh,z_true,0.3148258503010315,3.0,131
bt,900110,no_bh,log_candcount_no_bh,0.004511867341600488,2.0,131
bt,900110,with_bh,z_true,0.3970475834489718,3.0,131
bt,900110,with_bh,log_candcount_with_bh,0.014732093344687858,1.0,131
bt,900111,no_bh,z_true,,,116
bt,900111,no_bh,log_candcount_no_bh,0.04100441066942862,2.0,116
bt,900111,with_bh,z_true,,,116
bt,900111,with_bh,log_candcount_with_bh,0.0020550711335832706,2.0,116
bt,900112,no_bh,z_true,,,113
bt,900112,no_bh,log_candcount_no_bh,0.058711109634607,3.0,113
bt,900112,with_bh,z_true,,,113
bt,900112,with_bh,log_candcount_with_bh,0.008933200554488182,3.0,113
