arm,seed,event_idx,z_true,host_galaxy_index,in_catalog,host_draw_mode,s_tilde_phi_host,SNR,candidate_count_no_bh,candidate_count_with_bh,h_fiducial_used,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,combined_no_bh,combined_with_bh,impostor_share_proxy_no_bh
bc,900101,189,0.2747678651078059,17436398.0,True,catalogue_selected,0.7237344944921185,41.57335651533892,245,40,0.73,0.0567660967927651,0.0001481523670258,25902788.30324311,5301201.214840116,0.2046576,0.0365395537702553,0.0056065254940588,
bc,900101,190,0.3850958298094271,360495.0,True,catalogue_selected,0.4660278813037252,132.27776087512888,229,0,0.73,0.0385658355354016,0.0,45317212.53656483,13705694.138922386,0.302439,0.0540921338199217,0.0144713424186346,
bc,900101,192,0.0430341803622598,6888004.0,True,catalogue_selected,0.9096641978663964,667.3384720182261,0,0,0.73,0.0,0.0,7763.699950264912,995.7822752140264,0.1282613,8.197407535657567e-06,1.051410175432548e-06,1.0
bc,900101,195,0.2059436266584442,1667158.0,True,catalogue_selected,0.7640392389849326,536.3839644445267,2,0,0.73,0.3698684951164482,0.0,5094358.1311479695,901139.6494090628,0.1768897,0.0652561834976201,0.0009514804796769,
bc,900101,197,0.0592818371174396,15982409.0,True,catalogue_selected,0.9163621172013988,45.799845843275456,2425,2161,0.73,0.0052181162512085,0.0029764672590287,30740.87614078247,2840.371822986399,0.09239723,0.0008772080888956,0.0001874413186949,
bc,900101,199,0.0624978628108111,12305634.0,True,catalogue_selected,0.92610412765572,296.2851668655232,2,2,0.73,0.0053751663232627,0.0041348010138346,70390.70363952951,7614.352335639739,0.1081727,0.0009444974026994,0.0002642602742873,
bc,900102,1,0.2202835665633465,13908693.0,True,catalogue_selected,0.7231043447038656,309.3830615536255,5,1,0.73,0.0209465116726344,0.0003761410939441,8285706.396665028,940084.5441282538,0.1134586,0.0121395620353892,0.0010159092485942,
bc,900102,3,0.210259128855521,7584453.0,True,catalogue_selected,0.7834508869984164,24.724337242190924,34704,7384,0.73,0.0716939939537648,0.0002467976243145,10172471.84336632,2464080.0197914266,0.2422302,0.0223471325367849,0.0026170254654318,
bc,900102,5,0.341912053474169,11579731.0,True,catalogue_selected,0.5812567597194577,53.10727783499081,3278,174,0.73,0.0236109850861307,4.361139215744608e-06,34887384.01242499,7428441.303349393,0.2129263,0.0406586489497369,0.007843690407588,
bc,900102,7,0.2462766604309856,8960980.0,True,catalogue_selected,0.5681021237798469,188.89116438451816,43,7,0.73,0.0938262618681435,0.0001464012638714,13319699.453393774,2647043.868811085,0.1987315,0.0292531218840588,0.002803989073255,
bc,900102,8,0.1365007906801576,20348178.0,True,catalogue_selected,0.9237429794490633,276.148343063909,5,4,0.73,0.0762548875339173,0.043880961453527,1987769.82546084,236981.29756471983,0.1192197,0.0144435577937862,0.0029693844725301,
