seed,event_idx,z_true,host,dL,SNR,sig_dL,evaluated,z_g,sigma_g,mu_k,mu_p,sd_k,sd_p,pull_p,pull_k,pull_g,C_b,C_s
900101,0,0.288811794807765,10791058,1.507307522193932,31.71527396330816,0.0611747681171396,True,0.250951,0.0412893458978334,0.2507713145912371,0.245975841750361,0.0390927539231845,0.0389698859008742,1.0992065300463971,0.9730826406161028,0.9169628141227514,-3.5119617822287243,0.007719741486701532
900101,1,0.13997096923459,9395586,0.6351683867179443,385.538769323715,0.0006791935789168,True,0.137223,0.0375343521912498,0.1479832045936629,0.145656782465227,0.0341444745775813,0.033700595650729,-0.168715511427883,-0.2346568649304575,0.0732121130155163,-1.8834893710399716,-0.053453730953548134
900101,2,0.2008831217258453,11311856,0.9420013476863324,81.67219967312538,0.0214894071212074,True,0.2141989999999999,0.0400840863002833,0.2145909522895654,0.2104481537622879,0.0374062200056748,0.0371514500830348,-0.2574605302098421,-0.3664585879471536,-0.332198623024631,-3.1132991600808846,-0.00401938995213426
900101,3,0.1163682317310542,154375,0.5184785906936634,158.93501165546587,0.0012194219863909,True,0.119092,0.0151156744892885,0.1217624802090939,0.121443363524134,0.014822607561603,0.0147908280706691,-0.3431269546797064,-0.363920346377727,-0.1801949539781341,-1.57977607292101,-0.011863093059027422
900101,4,0.2211550600177448,8284015,0.9167484058626844,25.076941696857418,0.1102635032844712,False,0.17598,0.0388341600543035,0.1818245980928713,0.1784703194569566,0.0360222703490413,0.0356037898355352,1.1988819380735003,1.0918373979145977,1.163281501507295,-2.6046781812000597,-0.03884652611537452
900101,5,0.2379686262275867,19142281,1.1838064147497538,61.121842277459976,0.0274634709657082,True,0.2134449999999999,0.0401372549005371,0.2165938602840614,0.2123536142063903,0.0377629154862967,0.0375096647173011,0.6828909886091715,0.5660253099706157,0.6109941073040003,-3.176758389524892,-0.01822254120103095
900101,6,0.21517866614041,4395401,1.1357430456548898,25.41434104566256,0.1545234966330551,False,0.157959,0.0382852416382226,0.1666224968496706,0.1637070714081188,0.0353338344940997,0.0348759361017339,1.4758484068254765,1.3742117148040518,1.4945619693642989,-2.2990153253985177,-0.05104074519959603
900101,7,0.1079723486250249,1566826,0.4818661582335929,135.05974619098578,0.0039265395241361,True,0.0347824297661696,0.0341059311922608,0.0701387187094506,0.0695365410641919,0.0258926633204771,0.0257297092211037,1.4938298459007708,1.4611718171785577,2.145958673471532,-0.5450499197829834,-0.04564832291579482
900101,8,0.3661969047441979,14944724,1.9378604996739284,21.13513636457883,0.1304721831696465,True,0.291495,0.0426708001633321,0.2842706523055853,0.2790891829055067,0.0401826783180462,0.0401044478356887,2.172021472420684,2.0388449916196616,1.7506562909122758,-3.6748790098039206,0.05191343124436882
900101,9,0.3375533395550948,8111837,1.7629545985317172,49.2070697785198,0.039027969329026,True,0.304175,0.0430559774074772,0.2943619653112073,0.2890855823988587,0.0404412219133333,0.0403644102931612,1.2007547441972115,1.0680036903051002,0.7752312585824211,-3.7142749425850883,0.0672839254171152
