seed,event_idx,z_true,host,dL,SNR,sig_dL,evaluated,z_g,sigma_g,mu_k,mu_p,sd_k,sd_p,pull_p,pull_k,pull_g
900101,0,0.288811794807765,10791058,1.507307522193932,31.71527396330816,0.0611747681171396,True,0.250951,0.0412893458978334,0.2507713145912371,0.24597584175036102,0.03909275392318451,0.038969885900874204,1.0992065300463971,0.9730826406161028,0.9169628141227514
900101,1,0.13997096923459,9395586,0.6351683867179443,385.538769323715,0.0006791935789168086,True,0.137223,0.0375343521912498,0.14798320459366293,0.14565678246522704,0.03414447457758133,0.03370059565072909,-0.16871551142788305,-0.23465686493045756,0.07321211301551638
900101,2,0.2008831217258453,11311856,0.9420013476863324,81.67219967312538,0.021489407121207414,True,0.2141989999999999,0.0400840863002833,0.21459095228956548,0.21044815376228793,0.03740622000567488,0.03715145008303482,-0.2574605302098421,-0.36645858794715364,-0.33219862302463105
900101,3,0.1163682317310542,154375,0.5184785906936634,158.93501165546587,0.0012194219863909915,True,0.119092,0.0151156744892885,0.12176248020909392,0.12144336352413401,0.014822607561603082,0.014790828070669103,-0.3431269546797064,-0.363920346377727,-0.18019495397813415
900101,4,0.2211550600177448,8284015,0.9167484058626844,25.076941696857418,0.11026350328447124,False,0.17598,0.0388341600543035,0.18182459809287135,0.17847031945695668,0.03602227034904132,0.035603789835535256,1.1988819380735005,1.0918373979145977,1.163281501507295
900101,5,0.2379686262275867,19142281,1.1838064147497538,61.121842277459976,0.02746347096570825,True,0.2134449999999999,0.0401372549005371,0.2165938602840614,0.21235361420639032,0.03776291548629674,0.03750966471730119,0.6828909886091715,0.5660253099706157,0.6109941073040003
900101,6,0.21517866614041,4395401,1.1357430456548898,25.41434104566256,0.15452349663305512,False,0.157959,0.0382852416382226,0.16662249684967062,0.16370707140811888,0.03533383449409976,0.03487593610173392,1.4758484068254765,1.3742117148040518,1.4945619693642989
900101,7,0.1079723486250249,1566826,0.4818661582335929,135.05974619098578,0.003926539524136157,True,0.0347824297661696,0.0341059311922608,0.07013871870945067,0.06953654106419191,0.02589266332047719,0.025729709221103708,1.4938298459007708,1.4611718171785575,2.1459586734715317
900101,8,0.3661969047441979,14944724,1.9378604996739284,21.13513636457883,0.13047218316964654,True,0.291495,0.0426708001633321,0.28427065230558535,0.2790891829055067,0.040182678318046255,0.040104447835688756,2.172021472420684,2.0388449916196616,1.7506562909122758
900101,9,0.3375533395550948,8111837,1.7629545985317172,49.2070697785198,0.03902796932902607,True,0.304175,0.0430559774074772,0.2943619653112073,0.28908558239885873,0.04044122191333337,0.0403644102931612,1.2007547441972117,1.0680036903051002,0.7752312585824211
