,event_idx,seed,z_true,host_galaxy_index,in_catalog,s_tilde_phi_host,luminosity_distance,SNR,delta_luminosity_distance_delta_luminosity_distance,phiS,qS,ln_nb_truth,ln_wb_truth,ln_cat_truth,ln_catwb_truth,ln_nb_b_plus,ln_wb_b_plus,ln_cat_b_plus,ln_catwb_b_plus,ln_nb_b_minus,ln_wb_b_minus,ln_cat_b_minus,ln_catwb_b_minus,ln_nb_s_plus,ln_wb_s_plus,ln_cat_s_plus,ln_catwb_s_plus,ln_nb_s_minus,ln_wb_s_minus,ln_cat_s_minus,ln_catwb_s_minus,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,alpha_G_phi,D_tilde_phi,w_G,r_Malm,g_frac,L_comp,dark,sb_nb,ss_nb,slns_nb,cb_nb,clns_nb,sb_wb,ss_wb,slns_wb,cb_wb,clns_wb,sb_cat,ss_cat,slns_cat,cb_cat,clns_cat,sb_catwb,ss_catwb,slns_catwb,cb_catwb,clns_catwb,zbin,c_i,z_g,sigma_g,M_g,pull,in_window,s_tilde_recomp,mu_k,sd_k,mu_p,sd_p,zoa,slope_lnS_k,sb_pred_truehost,ss_pred_truehost,Eb_gen,Es_gen,Eb_null,Es_null,sig_dL_rel,b_true_eff,s_true_eff,c_nb,c_wb,z_GW,sig_zGW,sb_th_analytic,own_dlnS_b,Eb_null_det,Eb_gen_det,Es_null_det,Es_gen_det,mass_outside_smin,phi_var,th_var,cov,sky_in,chord_over_rad,z_min_ball,z_max_ball,z_in,recovered,n_cand,true_in,lnLcat_truth,lnLcat_b_plus,lnLcat_b_minus,lnLcat_s_plus,lnLcat_s_minus,pi_true,sec_b_true_only,sec_b_imp_only,sec_s_true_only,sec_s_imp_only,tw_sb,tw_ss
0,0,900101,0.288811794807765,10791058,True,0.6456652581460561,1.507307522193932,31.71527396330816,0.0037423522541858,3.2218401441576865,1.9494040749805512,-3.1933542083073347,-5.55438656374904,-2.5293822591242265,-5.856628484569384,-3.083860791706297,-5.526388930757004,-2.216057498555318,-5.374267489841655,-3.321426012827307,-5.57622293306423,-3.011080200664166,-6.494481275134137,-3.1987207486152927,-5.545847114284889,-2.5465486153088257,-5.685001005203531,-3.188267473622886,-5.559674708140277,-2.5132953557663336,-5.978963887531172,0.0797082441210749,0.0028608729181889,26641892.605351333,3497765.282502311,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.1312882,0.0199434226847153,False,5.93913052802526,-0.014783163265477,-0.0150808879925937,-46.44596979733517,-0.0023295149819315,1.245850057680653,0.0195551707652765,0.0199490010825949,15.403159192113325,0.027068662106184,19.8755675527212,-0.0470272106381049,-0.047974312635347,-420.9329524275773,-0.0089869585198602,28.005344632312056,0.4157262950220357,0.4240987925395132,-388.7294895925586,0.41037999534713,1,,0.250951,0.0412893458978334,13611892.310650198,0.9169628141227514,True,0.6456652581460561,0.2507713145912371,0.0390927539231845,0.245975841750361,0.0389698859008742,False,-3.1526289833958137,34.668834614146284,0.5330502219146518,-1.9088386221438176,0.1389196297663851,0.5017034611971021,0.1581670711698681,0.040585459314963,-0.0038334617749824,0.996857012873748,0.3144660448118394,0.0458033582400285,0.3016239443299577,0.0105106360439735,38.81948665202669,-3.925357380418739,-0.0255755352467877,-3.5321224929806685,0.0529031899232304,0.0622440306847775,0.002748816657387,9.589874152331838e-05,0.0005721428064012,-2.443114969093911e-05,True,0.3248393540310372,0.1929926230499652,0.3826597182786511,True,True,6806,True,-2.5293822591242257,-2.2160574985553176,-3.011080200664165,-2.5465486153088253,-2.5132953557663336,0.00045811775523247857,34.878096045122355,19.869054540722253,0.549134484662011,-0.04726763326738667,19.875567552721186,-0.04702721063810429
1,1,900101,0.13997096923459,9395586,True,0.8547759691829862,0.6351683867179443,385.538769323715,4.613039176418231e-07,2.724134987249326,1.8639723611157435,-4.0645698290401455,-6.131861912875611,-2.4022614594251044,-3.4766025841298025,-4.009642082614816,-5.835372367341246,-2.338193403406756,-3.146268722928572,-4.146353936668693,-6.432353986067612,-2.498795031588822,-3.825264286238577,-4.005521295191278,-5.881243703611496,-2.333410177296664,-3.196676355534729,-4.17048107402608,-6.538923528393478,-2.527553576748042,-3.953447333840836,0.0905130301189724,0.0309122546176973,2384218.0571914585,243400.1673579265,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.102088,0.0017847631619665,False,3.417796351346936,0.2332883564742426,0.2379866548711084,-67.14090300804499,-0.3901543733060726,14.924540468159163,0.9300997279058396,0.948831421705688,-10.006319144089115,-1.302465812237664,4.015040704551653,0.2745602285493556,0.2800897196098277,-81.16379036342325,-0.4698968145435059,16.974889082750146,1.0702357811308512,1.0917897374909096,-45.81960226885839,-1.639440406545023,1,,0.137223,0.0375343521912498,10768692.872787869,0.0732121130155163,True,0.8547759691829862,0.1479832045936629,0.0341444745775813,0.145656782465227,0.033700595650729,False,-2.024495174948214,-6.688188802362416,-0.8835106566899351,-2.928046086593044,-0.0495067254302567,-0.6673702304252458,0.641754159232383,0.001069312631295,-0.0020457044295058,0.9869999778194364,0.8533864846766814,0.881706072528177,0.139814723161879,0.0001369616918694,-7.967812484725551,-2.269307176322408,-0.1323584660787193,-1.9994486238955056,0.0473223064975694,-0.0019412040145363,0.0023670530873345,3.573707595129357e-07,3.13433879469728e-06,4.9516618845403434e-09,True,0.4231090293055698,0.0981709146947636,0.1628109758509983,True,True,23,True,-2.402261459425104,-2.3381934034067555,-2.498795031588821,-2.3334101772966633,-2.5275535767480415,0.11704647379272456,-6.681610193586618,5.245480156333482,-0.8834789445008355,0.44125817607125073,4.015040704551642,0.27456022854935624
2,2,900101,0.2008831217258453,11311856,True,0.7211881449044129,0.9420013476863324,81.67219967312538,0.000461794618421,3.009800620787133,1.096885679574428,-3.818564472503963,-6.4179890236693655,-2.5385632135460443,-5.345037650202433,-3.818338086654147,-6.347626249919535,-2.5381744351526727,-5.006907146121536,-3.826034970298139,-6.466929311754114,-2.551428132308626,-5.651020295306311,-3.7754921161839374,-6.361445981077327,-2.465692407684021,-5.066607250173219,-3.8535506023291055,-6.457759113672931,-2.5994269167235333,-5.587345549568551,0.078979795408703,0.0047717715437929,8688080.914990382,1265545.298717257,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.1456645,0.006503669711958,False,0.1924220910997975,0.1103913697648102,0.1126145908609351,-18.11027986090119,0.0673216839993323,2.982576545864468,0.1362073383513415,0.1389504787681592,53.55621416270662,0.1396428129501054,0.3313424288988287,0.1891291564409855,0.1929381129870247,-31.190350923024912,0.0999648443173555,16.102828729619368,0.7364351654519787,0.7512665621385969,80.36964744254637,0.300737009586087,1,,0.2141989999999999,0.0400840863002833,7961177.69303711,-0.332198623024631,True,0.7211881449044129,0.2145909522895654,0.0374062200056748,0.2104481537622879,0.0371514500830348,False,-2.990726732813447,-11.18085157794958,-0.7004816198324398,-3.2272396847592724,0.1604287308379859,-0.4355617765389097,0.1521629697258045,0.0228125014619012,-0.0034119600883195,0.9931891027053412,0.5822532092962835,0.1811908282454692,0.1996928299069835,0.0040568504859983,-12.777776571193382,-3.5949763391146954,-0.0381992706364786,-3.1604580165353333,0.0555446034311473,0.0535243020693458,0.0022026099893235,5.254395679695622e-06,8.204208171643333e-06,2.924683472747876e-06,True,0.8304247073365282,0.1329068325425391,0.244792079386687,True,True,134,True,-2.5385632135460448,-2.5381744351526727,-2.5514281323086263,-2.4656924076840205,-2.5994269167235333,0.015202355021314111,-11.05563139573249,0.4834131938828534,-0.7036138303677449,0.20303457631490004,0.3313424288988398,0.1891291564409862
3,3,900101,0.1163682317310542,154375,True,0.9010896182507766,0.5184785906936634,158.93501165546587,1.4869899808937517e-06,4.690210878018146,0.4197129086289862,-5.800989434396673,-7.758497944878298,-4.12360906113676,-5.076798457500748,-6.038156404547475,-7.921388193602085,-4.402944352857607,-5.258361225725585,-5.737396785709668,-7.810622868332659,-4.050556104936112,-5.134534370779583,-6.014917805175117,-7.998736454168654,-4.375030966600544,-5.345844249736692,-5.647500157633753,-7.583932988156373,-3.948405733612544,-4.885622405574494,0.0161859926640511,0.006239854229687,382856.4729946155,38294.312696666224,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.1000226,0.0002865963233774,False,-7.518990470945175,-0.5196070202082148,-0.5300716180430152,-433.9358036594953,-0.5031842220959802,-2.769133131735657,-0.5866206873539339,-0.5984349033594706,-537.5379304453709,-0.546763580753504,-8.80970619803738,-0.6033391905422111,-0.6154901079498862,-515.7058388004975,-0.6345559355991088,-3.095671373650033,-0.6508519737145381,-0.6639597722815772,-598.2467037591821,-0.6483026481582084,1,,0.119092,0.0151156744892885,28183829.312644634,-0.1801949539781341,True,0.9010896182507766,0.1217624802090939,0.014822607561603,0.121443363524134,0.0147908280706691,False,-1.4579688926300844,-28.65199673072414,-0.9278532070065754,-16.253199204980632,0.5930318138341888,-7.934008924382239,0.6413957320890931,0.0023519235090489,-0.0002851567922564,0.9978560121218956,0.8663461476604709,0.9053294477510564,0.1159544992444589,0.0002528533709897,-29.57436267942856,-1.625421806382198,-1.2714443123932266,-2.694553974823898,0.0375092288013089,0.027744333758611,0.004269730615212,4.807681784994654e-06,6.570833086772112e-06,1.423688074021116e-06,False,1.8380669247103063,0.0808040690729038,0.1357622292683182,True,False,39,False,-4.123609061136759,-4.402944352857606,-4.050556104936108,-4.3750309666005425,-3.948405733612541,0.0,,,,,-8.809706198037448,-0.603339190542213
4,5,900101,0.2379686262275867,19142281,True,0.7169123151376593,1.1838064147497538,61.121842277459976,0.0007542422374843,6.050908366147054,1.0195603135162017,-3.5437022174437582,-5.875772566377593,-2.3968578418812894,-5.994702150381663,-3.526932720169754,-5.86073804600831,-2.364215854593324,-5.751499198795736,-3.609613452865178,-5.890873612469853,-2.530564687279214,-6.312719784738014,-3.5673622559741327,-5.871466692534967,-2.4438216630794867,-5.9191949437393765,-3.527020360359795,-5.878813892968775,-2.364385110995713,-6.051478089166052,0.0910034517486068,0.0024919190802806,13423850.19116562,2511885.91685266,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.1871211,0.0100487424968051,False,2.067018317385605,-0.0570520559096358,-0.0582010527428649,-122.85434536853934,-0.0580966816255579,0.7533891615385757,0.0103905104989653,0.0105997696302726,-0.1663143074392969,0.0105279576966865,4.158720817147255,-0.1123402493050294,-0.1146027197565781,-252.66214527489785,-0.1206452235105605,14.030514648556936,0.1870766183357766,0.190844237900258,-187.0367069260604,0.1559467195773406,1,,0.2134449999999999,0.0401372549005371,5200935.830429927,0.6109941073040003,True,0.7169123151376593,0.2165938602840614,0.0377629154862967,0.2123536142063902,0.0375096647173011,False,-3.0027824101927933,20.561236712189825,-0.2441172299768676,-4.506259183965585,0.1035868578564577,-1.4235635990087423,0.0896331969085772,0.0231992922352205,-0.0034943867069963,0.9932936648101904,0.5096623951415787,0.0550185149863157,0.2444482234960868,0.0049664583589323,23.298860099476386,-3.608112949139525,-0.0504074828469527,-3.2338565244569875,0.052923905967422,0.0377850314574986,0.0023397867044721,2.6800041879691065e-05,3.3170053183319905e-06,3.583239139443018e-06,True,0.2828403488540876,0.1635406810679932,0.2989252318761747,True,True,200,True,-2.3968578418812885,-2.3642158545933234,-2.530564687279214,-2.443821663079486,-2.3643851109957126,0.01896642495063877,20.606678933088673,3.868558066206962,-0.2417354880115907,-0.10996738852446321,4.158720817147265,-0.11234024930502878
5,7,900101,0.1079723486250249,1566826,True,0.9520168898667684,0.4818661582335929,135.05974619098578,1.5417712634603395e-05,3.411794998576614,0.745081672212652,-5.7551782893512415,-7.138502035188179,-4.112012765031614,-4.412061298629602,-5.934606510721404,-7.307992854316783,-4.3304061526545805,-4.591993994932667,-5.654648776576472,-7.14499696070735,-3.99305659310744,-4.418922752571172,-5.883789226182033,-7.352235548439198,-4.267674037752939,-4.63928692123191,-5.724490077829205,-7.02598158149606,-4.075465073453991,-4.293573606218396,0.0163747827449695,0.0121301486831317,488190.67833663407,40036.90277934277,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.08201079,0.0003654467493367,False,-6.998943353623321,-0.2252830160750537,-0.229820091346461,-197.24677148848176,-0.8152532919727009,-4.074897340235828,-0.4613927848290096,-0.4706849801792175,-439.964361619436,-0.842646890554267,-8.433738988678508,-0.2718245241212585,-0.2772989196084963,-248.5930392469815,-0.9916772520359802,-4.326781059037388,-0.4889124587850733,-0.4987588851392805,-466.985375611586,-0.9052950198340406,1,,0.0347824297661696,0.0341059311922608,463533.8938044081,2.145958673471532,True,0.9520168898667684,0.0701387187094506,0.0258926633204771,0.0695365410641919,0.0257297092211037,False,-0.8733996064047098,33.64038450500152,3.313990105058653,-0.7321967546813403,1.4345206925704117,-0.2268794984450772,1.7353070136080264,0.0081486102666556,-0.0005819364804974,0.9937065531901228,0.8372056072774687,0.9467548196552776,0.108326458904711,0.0008214751005445,58.8820114470125,-0.9294375759733284,-0.47134407622214,-0.9888973820805272,0.0124248042036874,-0.0234048227910875,0.0131714064605069,4.026277253091091e-05,3.8206900212912114e-06,3.6073326103680135e-06,True,0.590326124696875,0.0741344922294168,0.1289348438682242,False,False,103,False,-4.112012765031612,-4.330406152654577,-3.993056593107439,-4.267674037752936,-4.07546507345399,0.0,,,,,-8.433738988678451,-0.27182452412125596
6,8,900101,0.3661969047441979,14944724,True,0.5806536868068537,1.9378604996739284,21.13513636457883,0.0170229905810538,4.034916644555151,0.4199135242599953,-3.8322284100695954,-5.200031203849335,-4.8845719823407165,-9.577793811606597,-3.795663646718578,-5.19925723608066,-4.37839896967418,-8.88698132596005,-3.8536577373973175,-5.200393570772658,-5.354775795335312,-10.204676738363782,-3.8191733249397175,-5.199589592498247,-4.675524180832747,-9.128104167373898,-3.84140369512093,-5.2002574228209095,-5.060831922197472,-9.921377798524578,0.0075623598930116,6.924955689076605e-05,19355756.324734338,5220467.436872352,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.2697114,0.014489211989729,False,1.4498522669684877,0.0314384910068449,0.0320716448175609,37.83859005823786,0.0323011821439332,0.0284083672999369,0.0009444546996728,0.0009634754946599,1.02900211337964,0.0017932440698511,24.40942064152829,0.5449074335253379,0.5558815676830151,89.92299917985446,0.2729745527773629,32.94238531009328,1.1218583278462426,1.144451933729066,159.82389722340338,0.8833800953762565,1,,0.291495,0.0426708001633321,13611892.310650198,1.7506562909122758,True,0.5806536868068537,0.2842706523055854,0.0401826783180462,0.2790891829055066,0.0401044478356887,False,-3.219126258887285,49.16077696121695,1.3926598604137228,-3.716389343501759,0.0399294676517717,-0.4700692127740546,0.0489408998307886,0.067327954304038,-0.0040119933875692,0.9980531292180598,0.0565180763277183,0.0007778912023495,0.3738530055294918,0.0211566266981464,56.10141049051244,-4.144459552840299,0.0089410986691342,-3.650280748871367,0.0515717229595805,0.1004525927213576,0.003734255227243,8.891456506122467e-05,0.0018212259585214,0.0001402956111712,True,0.9519067903955848,0.2216255998688558,0.5001899424543786,True,True,18279,True,-4.884571982340705,-4.378398969674179,-5.354775795335309,-4.675524180832745,-5.060831922197459,0.00030128550140835227,45.62525198463976,24.403722066704823,1.0679467516295755,0.5447713191912777,24.409420641528246,0.544907433525324
7,9,900101,0.3375533395550948,8111837,True,0.5621464701403652,1.7629545985317172,49.2070697785198,0.0015231823899474,2.3454093960986087,2.097405980860017,-3.180745618935855,-5.175606002015575,-4.003620811458441,-7.882478068055209,-3.126209030444458,-5.17095691737322,-3.4223061581994294,-7.127919601959297,-3.218260744634954,-5.178064863750324,-4.733213157576516,-8.78332150350006,-3.1716699701185807,-5.173836956359585,-3.882966583427503,-7.526134381346529,-3.189253570176,-5.1767865282206165,-4.130501362499043,-8.21831328925893,0.0182494413303385,0.0003772969298993,36558035.328188606,5331570.115918888,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.1458385,0.0273663872861034,False,2.3012928547624045,0.0248669656765462,0.0253677726038132,42.553656980744975,0.0047263525105183,0.1776986594276053,0.0041713245290648,0.0042553326966557,5.475557269019049,0.0048997045196981,32.772674984427155,0.3500670417219997,0.3571171982140561,-370.6942321476592,-0.0518371023121535,41.38504753851908,0.9788887991583144,0.9986030778531588,-365.7124233723464,0.1707427358001917,1,,0.304175,0.0430559774074772,49200709.71307145,0.7752312585824211,True,0.5621464701403652,0.2943619653112073,0.0404412219133333,0.2890855823988587,0.0403644102931612,False,-3.2365626106279386,34.67574197390291,-0.0046032497800843,-3.169732834262128,0.1036254056699289,0.8985928777854629,0.0487658492536029,0.0221378187285881,-0.0040457629630598,0.99810066025362,0.0710958464761996,0.004135988426801,0.3449834609442875,0.0064947721490139,39.35166759681909,-4.207495283466918,0.0204218135531811,-3.673080589860157,0.0499094058854855,0.1122704077673042,0.0042943445939709,4.341447489769624e-05,4.726713488376219e-05,7.736962293747095e-07,True,0.6641211663474419,0.2341597171163631,0.4184103173593384,True,True,360,True,-4.003620811458438,-3.4223061581994294,-4.733213157576513,-3.882966583427498,-4.130501362499039,0.005467240604935641,34.97686335279635,32.76153249518385,0.014523868914057655,0.35175159672812056,32.772674984427084,0.3500670417220016
8,11,900101,0.1640855806475567,5590045,True,0.705104235784189,0.7572386233154283,1424.7236072062765,6.374861331440847e-09,1.2168823425057134,1.8307747905500764,-3.7112643792005615,-7.266157246751532,-2.062537653982232,-5.748582978537216,-4.493583966651881,-7.467275457445766,-3.0969948777991267,-6.783040205726749,-3.0852723210851454,-7.0098759946976,-1.352765746466656,-5.0388110676490605,-3.5547649785232847,-7.210840315273115,-1.8791919518631457,-5.565237272568175,-4.2157254163505495,-7.40887887888412,-2.698510400155943,-6.384555732410858,0.1271309458555335,0.0031872940621516,3661108.7828777134,474763.6164733737,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.1296775,0.0027406100997865,False,-35.2077911391684,0.9347392153673768,0.9535643458771932,-390.8188233397547,-2.896946226936988,-11.434986568704142,0.2800688225315693,0.2857092536263697,137.90760339924546,-0.7276857309426916,-43.60572828331177,1.1586912614781528,1.182026662260859,-811.7132907532958,-3.768335557838213,-43.60572845194221,1.158691277812158,1.182026678923822,-811.7132907534462,-3.7683355898911097,1,,0.219797,0.0403114679116084,13611892.310650198,-1.382024079961628,True,0.705104235784189,0.2221467306063168,0.0379545052134584,0.2178076220492553,0.0377298759307557,False,-3.038429409627054,-81.63421319091432,-0.8941390988228108,-7.753544331215396,-58.36737147755379,-6.228686214707417,-61.35711106664807,0.0001054393242421,-0.0035572382593673,0.9940816174143388,0.8418744460188919,0.2826399083221081,0.1640991565104505,1.5673266960614107e-05,-49.15241864192242,-3.674188284711831,-0.044723009271053,-3.291399520692945,0.0532554049213747,0.0436389766972773,0.0023811486101246,1.5914719630171943e-08,2.0071080316465e-08,3.797384440737038e-09,True,0.6947957147708772,0.1159573902542873,0.1902598235427202,True,True,1,True,-2.0625376539816274,-3.0969948777985215,-1.3527657464660519,-1.8791919518625415,-2.698510400155339,1.0,-43.60572828331177,,1.1586912614781535,,-43.60572828331174,1.158691261478153
9,12,900101,0.0924942299811588,5386571,True,0.8300752100993535,0.4063287611180677,270.0169486273753,1.2567540555894094e-06,1.0905238113342772,2.052821092185547,-4.588687313830041,-7.514977126245549,-2.7996303682192862,-4.801412703265505,-5.017378226889481,-7.862941235431128,-3.2457636564986623,-5.178911467342863,-4.503084409960967,-7.411629370823183,-2.7113806251491672,-4.691222404337376,-4.809033278347688,-7.793189631896465,-3.027971648755532,-5.1023112116694325,-4.4813284018563175,-7.293346265309766,-2.688988307049568,-4.5659766449988455,0.0608325441116314,0.0082181290668025,301309.1957323667,33726.8793350469,58688310.0,947092100.0,0.0619668411108587,0.3827762,0.1119345,0.00022555216847,False,-12.857345423212864,-0.4634446807898965,-0.4727782001892309,-857.720022975914,-0.9406709856806916,-11.28279661519862,-0.7068852680891363,-0.7211215461958749,-611.5408844080328,-0.4710691208174257,-13.359575783737377,-0.4793948392591277,-0.4890495860231635,-894.7088630231425,-0.9799020171122568,-12.192226575137187,-0.758491618155041,-0.773767219592987,-668.2711628730708,-0.5450060525453366,1,,0.152069,0.0380755128274702,13611892.310650198,-1.5646478693219337,True,0.8300752100993535,0.161678271038989,0.0350705984139198,0.1589142100958104,0.034609174649291,False,-2.2854342798905583,-55.16268561735493,1.7176433824787891,-4.494105452354621,1.124063678343323,-2.323830254204699,2.5397303991280675,0.0027589738467024,-0.0023992147546532,0.9868430028144136,0.9687059514672632,0.9346422575889152,0.0923582368993426,0.0002393386880285,-64.92779883222232,-2.58904591439285,-0.1148700315047254,-2.300129216299766,0.0479501089585923,-0.001808132682128,0.002360790374201,2.6192347491763845e-07,1.1735688543053e-05,-5.196210491032058e-08,True,0.3643928315367226,0.0640148168387907,0.1084906693201219,False,False,67,False,-2.799630368219285,-3.2457636564986614,-2.7113806251491663,-3.0279716487555306,-2.6889883070495664,0.0,,,,,-13.359575783737377,-0.47939483925912774
