seed,n_live,lhs_id,lhs_br,A_id,C_id,A_br,C_br,B,n,s_min_all,s_med_acc,s_wmean_id,s_mean_all,z_wmean_id,z_mean_all,R_id,R_br
900101,82,0.005726403152644094,0.003998293020511387,18.700280982453485,25.252193177211375,13.05692263375167,18.204419497133117,227.01710626841904,200,0.48367382817163473,0.8758801633769258,0.766532150743772,0.8905074984134409,0.19097102766542914,0.1184932294936333,0.8405772214023094,0.8141277983491125
900102,89,0.006027975902668105,0.004092830780610258,19.685104267118003,26.628909095791013,13.365647435372452,18.50741269597249,228.1177866231079,200,0.5717742164866059,0.8886556216394804,0.7573791603415576,0.8867442546847721,0.19641795391979802,0.12006791977879867,0.8431668001694127,0.8237083053768722
900103,83,0.004157487671409331,0.002580363656428901,13.576792545691168,17.67690643858371,8.426498122097998,11.413894898135624,230.1115991368381,200,0.5187029905005537,0.8992255268281834,0.7881105985774343,0.8781121418268824,0.18081966325567556,0.12690264202688017,0.8836889686248771,0.8494186144627374
900104,106,0.005764916700306285,0.003827366302181213,18.82605175753095,24.690454744764352,12.498740197939924,17.068698736768088,227.3289996832944,200,0.4892234003879002,0.8820696965812163,0.7843161562567871,0.8881627808066993,0.18317957944294222,0.12061013337162681,0.8666724769281449,0.8323206561665114
900105,84,0.0038562213703382067,0.0023869075519172274,12.592970008157614,16.56274926355972,7.794743176505534,10.557949984569214,225.0920971126349,200,0.598419430843027,0.9048082420455652,0.7764465250439415,0.8968848309883555,0.18446784697905796,0.11259711964181364,0.8557087905234326,0.8309070845279347
900106,96,0.0054311875564200555,0.0036685628783527232,17.736217773379046,23.033173908047658,11.980147886604458,15.902046529179726,227.2781838320018,200,0.5058710269090858,0.8988254448997457,0.7917868844652712,0.8886628557882681,0.17536635522487665,0.11982822034166116,0.8750542542845199,0.8561244770319216
900107,94,0.005154305138406279,0.003480533385508086,16.83202383558967,23.445147951780914,11.36611421565005,16.507009762160546,229.54156393153164,200,0.5404179013589503,0.8768244152390666,0.7399876201333413,0.8820578689300652,0.20494250132105604,0.12349847432558159,0.8239762622313894,0.7902690040401491
900108,95,0.004719194691720005,0.0030306797203280343,15.411116610837748,19.978287614979617,9.897061179108395,13.305773545500834,225.8127104769502,200,0.50627553043875,0.8910165224419386,0.7880183468933836,0.8942295293699116,0.18029696696125588,0.11558634344204474,0.8709520256281417,0.8398167167689256
900109,92,0.00496600075802863,0.0034901136871953306,16.217092485242304,21.45586238130287,11.397399881131955,15.603925387833396,227.11249652623633,200,0.5021132304506485,0.8928955949421126,0.7740406707849371,0.8888515382564222,0.1870010662124088,0.11961867772959836,0.8582979083445714,0.8294361439750255
900110,99,0.004985133981780495,0.003427440736724022,16.279574404646603,22.089346288570688,11.19273357445187,15.715521352084666,224.28193883194942,200,0.48091700758211436,0.9134643695343364,0.7644203298934524,0.9004781569945797,0.19164197274813363,0.11155852409531214,0.8264650440837863,0.7986779218668828
900111,87,0.004117636376965791,0.002800509321762689,13.446653192288396,16.291454787631995,9.14541114464866,11.252695611690159,223.9503901931272,200,0.6443432919052146,0.8910932884199353,0.8330483053410476,0.8987750154766485,0.15772299791906216,0.11331749760156937,0.924221706550971,0.9100567832799545
900112,92,0.005248025235836017,0.003399526186382205,17.138078458172394,22.66816986191335,11.101575142016008,15.21086315253216,227.29946668076477,200,0.5041082506033736,0.8829655449750251,0.7784086955175479,0.8895754353867056,0.18546744289378134,0.11793464952575797,0.859239214547443,0.8294670998590259
900113,93,0.005045352809545658,0.0031588803427457604,16.47622646871278,22.27746333904574,10.315716240135654,14.576352022908974,226.77815296934997,200,0.5052022746637073,0.8953141669300273,0.7643410128101381,0.892599217548453,0.1911947183868508,0.11503131506694085,0.8386161722305523,0.8024569768269858
900114,93,0.0049043560277930815,0.0032919891093461705,16.01578395949521,20.97324640793063,10.750399455812872,14.409692604566457,228.46619731784818,200,0.5410403502814823,0.8941877261292976,0.7874133032327355,0.8856030161215395,0.17839216125872717,0.12109234411174125,0.8723173292110025,0.8522398605987916
900115,92,0.0050589008561073845,0.0032159106476309313,16.520469298062064,21.20816589816788,10.501955786573324,14.035716937973094,225.03265109995954,200,0.49506694271838664,0.8926536346155944,0.8014233173789739,0.8969039341717653,0.1734951478232348,0.11404680345188392,0.8764654665115459,0.8418818086853065
900116,101,0.004554582316616769,0.002732478351787878,14.87355444737076,18.751827835315424,8.923247559562897,11.448584197082916,226.04074020709106,200,0.6114362464968347,0.8920071729804946,0.8079452841873943,0.892000742149026,0.16856410293084595,0.11826992911611542,0.8964537447550657,0.8809025852858948
900117,94,0.005526547417361208,0.0039077143406663056,18.047627247443728,24.21495805803258,12.761126700602848,17.494481651727785,229.2530533777624,200,0.5397086597069817,0.8890654313061184,0.7659195194108456,0.8826913188087105,0.19137161395969182,0.12363548674534053,0.8543218705530019,0.8361285915449697
900118,96,0.005034271038002757,0.0034947822195234165,16.440037566864344,21.76126628127848,11.412645553499708,15.598492194331705,227.82078080443893,200,0.5152213303986505,0.9006712268427042,0.7815754699797014,0.8881708176195916,0.18191232726298584,0.11918324853923755,0.860561638860039,0.8334260095945147
