seed,real,map_h,mean_h,sigma_h,sigma_H0,pull,pull_mean,q16,q84,edge,map_h_2d,sigma_H0_2d,n_events,curv_total,sigma_h_curv,dark_share,incat_curv,dark_curv,abs_mass,golden_share,golden_baseline,golden_curv_abs,golden_curv_abs_base,golden_retained,pull_2d,edge_2d
61000,1,0.74,0.732058743500818,0.01975125980514133,1.9751259805141328,0.5062968184640542,0.10423352844977153,0.7126252844637077,0.7510444279271594,6.801317307109817e-09,0.81,1.9315611420732584,1588,0.08514278112927698,0.017135472658054752,0.5801856714020229,0.03574415949475193,0.04939862163452505,0.16498098970887684,0.6102333269076613,0.46995733132128625,0.051956962590689534,112.0059368516612,0.0004638768627014876,4.141727551742491,0.06699926261848535
61000,2,0.725,0.7255963212284084,0.017856437011693125,1.7856437011693125,-0.28001106809414444,-0.24661575927537088,0.7083104445187316,0.7436699404897341,1.652089275641011e-08,0.78,2.020993212133942,1588,0.10523628092614375,0.015413002843311324,0.46873432142467564,0.05590842419697122,0.049327856729172524,0.15529946689676108,0.5130703398299759,0.46995733132128625,0.05399361441721938,112.0059368516612,0.0004820602901498661,2.4740310704559794,0.015450043447364881
61000,3,0.73,0.7267250384023953,0.02007105730237479,2.007105730237479,0.0,-0.16316836468884788,0.7068369313186014,0.7468607447294497,2.081901849354503e-08,0.78,1.405789287577785,1588,0.08014913870328934,0.017661214878138244,0.6132323403139144,0.030999094802126682,0.049150043901162656,0.1606812774281745,0.6238484398436204,0.46995733132128625,0.05000091513485699,112.0059368516612,0.0004464130789877448,3.5567208003236006,1.2396562965687475e-06
61000,4,0.725,0.7270908574776005,0.015352804817177558,1.5352804817177557,-0.32567339059803135,-0.18948606180055,0.7118817333454138,0.7426841484789507,5.3114459071814045e-09,0.82,2.456745148584807,1588,0.14085292942420313,0.01332254090801626,0.3488011470255917,0.09172326607912637,0.04912966334507676,0.1464007596147618,0.39819027956931563,0.46995733132128625,0.05608626734558053,112.0059368516612,0.0005007437009331054,3.6633836461158347,0.1487432896550042
61000,5,0.74,0.7351409584060379,0.022447400661757475,2.2447400661757473,0.44548587832873293,0.2290224370965274,0.7115462647918258,0.7581433213538529,7.565181652671384e-09,0.8,1.47828963517586,1588,0.03519795189378317,0.02665086489382749,1.3985153689506191,-0.01402692478525714,0.04922487667904031,0.15188082930171162,-1.5866982261797236,0.46995733132128625,0.05852555618365452,112.0059368516612,0.0005225219111480206,4.735201974927784,0.0002637825535228656
62000,1,0.715,0.7201035112013141,0.02239537241067013,2.239537241067013,-0.6697812264489676,-0.44189882700815275,0.6985799411953812,0.7426441940015661,9.016633855962384e-07,0.82,1.9301099740808039,1542,0.07631900341198711,0.01809896161713966,0.6244051993933334,0.028665020869024803,0.047653982542962305,0.08821365933925254,0.0066896405572060644,0.2779870695042734,0.000510546700510377,40.56727557389688,1.2585185800322504e-05,4.662946734051338,0.16492258692949036
62000,2,0.7,0.6988898133856436,0.02605709351586383,2.605709351586383,-1.151317969586121,-1.193923896209536,0.6720161518941871,0.7253798067429529,3.636406691183143e-06,0.81,2.0363199912615926,1542,0.042941115738135006,0.02412866768445888,1.0898729914241143,-0.0038592465264753128,0.04680036226461032,0.09479081667445102,0.0120578886173091,0.2779870695042734,0.0005177791906734108,40.56727557389688,1.2763469652533856e-05,3.9286556309078144,0.10521704368910607
62000,3,0.71,0.7081551530607677,0.024070197653336848,2.407019765333685,-0.8309030232341038,-0.9075474681947171,0.6840524544382864,0.7327294452044624,1.5600913735893908e-06,0.82,1.930893765439464,1542,0.05393654416587281,0.021529227448066877,0.8785103470948634,0.006552732029614457,0.047383812136258356,0.09247412155307669,0.009440889713547904,0.2779870695042734,0.0005092089649999109,40.56727557389688,1.2552210070709376e-05,4.6610539435615355,0.16799208033561033
62000,4,0.71,0.7110150194133564,0.020611797796154175,2.0611797796154177,-0.9703180769477416,-0.921073492686108,0.6914256493539582,0.7312401567842137,1.605697133810888e-06,0.82,1.9786715476492391,1542,0.07724360179901661,0.01799031410981477,0.5940015793047034,0.03136078033921712,0.045882821459799494,0.09210138309885467,0.006666171687833423,0.2779870695042734,0.0005149191113788834,40.56727557389688,1.2692967523562501e-05,4.548506299942731,0.1497640595400754
62000,5,0.71,0.7043261346470605,0.02636909310055277,2.636909310055277,-0.7584637030835453,-0.9736347494029394,0.6770109103081373,0.7307217249918999,1.0772354423458063e-05,0.81,1.9919949658325626,1542,0.06015087470315996,0.020386798514994937,0.7882042610400891,0.012739698956840774,0.04741117574631919,0.08211523067958809,0.00846695173862677,0.2779870695042734,0.0005092945531478412,40.56727557389688,1.2554319853698732e-05,4.01607440642119,0.09574116791156317
