M_bin,edge_lo,edge_hi,frac_of_bin_lost_to_timeout,frac_of_kept_population_in_bin
0,11467.740863298552,47353.27632117414,1.0,0.0
1,47353.27632117414,195533.76403830902,0.9710610932475884,0.005660377358490566
2,195533.76403830902,807408.8183396299,0.14448160535117058,0.8044025157232705
3,807408.8183396299,3333997.088118623,0.21038961038961038,0.19119496855345913
4,3333997.088118623,13766938.689099597,1.0,0.0
