bin,edge_lo,edge_hi,n_kept,n_timeout,denom,rate,rate_garwood_lo95,rate_garwood_hi95,se_approx_from_garwood
0,35519.79338813367,77608.1885928589,0,309,309,1.0,0.8915976886121528,1.1179478947679744,0.05774346012371186
1,77608.1885928589,169568.12917853205,5,163,168,0.9702380952380952,0.8270062005299866,1.1311494705745926,0.07758899399290138
2,169568.12917853205,370493.77075337456,181,153,334,0.45808383233532934,0.3883747762027841,0.5366927667765947,0.0378369170489383
3,370493.77075337456,809501.3775998681,1103,99,1202,0.08236272878535773,0.06694036177553693,0.10027366701593633,0.00850355038163951
4,809501.3775998681,1768702.1681796953,303,96,399,0.24060150375939848,0.19488799051377056,0.29381561653967037,0.025237102830944803
