M_bin,p0_bin,n_kept,n_timeout,denom,rate,rate_garwood_lo95,rate_garwood_hi95,se_approx
0,0,0,0,0,,,,
0,1,0,2,2,1.0,0.12110463927198253,3.61234383386198,0.89063860218606
0,2,0,3,3,1.0,0.2062240409652005,2.9224243565807746,0.6929209708993569
0,3,0,1,1,1.0,0.025317807984289897,5.571643390938898,1.4149049632938688
0,4,0,200,200,1.0,0.8662044134072866,1.1486099083272494,0.07204354134054575
1,0,0,5,5,1.0,0.3246972780236842,2.333666415864534,0.512501540293814
1,1,2,3,5,0.6,0.12373442457912029,1.7534546139484646,0.41575258253961406
1,2,0,4,4,1.0,0.27246634340658127,2.5603971688509235,0.5836665432233302
1,3,7,37,44,0.8409090909090909,0.5920776037978643,1.1590824123166097,0.14464674058267024
1,4,0,253,253,1.0,0.8805634400612994,1.1311177428478565,0.06391808798186015
2,0,157,22,179,0.12290502793296089,0.07702392666050062,0.1860796893135488,0.027820858610935754
2,1,351,30,381,0.07874015748031496,0.05312565359952996,0.11240647085251355,0.015122935230693928
2,2,435,33,468,0.07051282051282051,0.04853778113831163,0.09902621638711388,0.012879939439908655
2,3,336,101,437,0.2311212814645309,0.18825207961793808,0.2808333082513284,0.023618094167390403
2,4,0,30,30,1.0,0.6746958007140305,1.427562179826922,0.19206127742981288
3,0,214,70,284,0.24647887323943662,0.19214237361952638,0.31141122828182727,0.03042628708034966
3,1,83,11,94,0.11702127659574468,0.058416599651455736,0.20938338843938248,0.03851264329036828
3,2,7,0,7,0.0,0.0,0.5269827791591336,0.13443685168685077
3,3,0,0,0,,,,
3,4,0,0,0,,,,
4,0,0,15,15,1.0,0.5596924088522208,1.649347924765723,0.27797845162296403
4,1,0,0,0,,,,
4,2,0,0,0,,,,
4,3,0,0,0,,,,
4,4,0,0,0,,,,
