bin,edge_lo,edge_hi,n_kept,n_timeout,denom,rate,rate_garwood_lo95,rate_garwood_hi95,se_approx_from_garwood
0,3.677122223516423,11.338926223253553,371,112,483,0.2318840579710145,0.19093261600943767,0.2790167770023507,0.02247086196300367
1,11.338926223253553,12.861147854995048,436,46,482,0.0954356846473029,0.0698709157862487,0.1272978292750747,0.014649991910266206
2,12.861147854995048,14.486073699483587,442,40,482,0.08298755186721991,0.05928752373815138,0.11300549162652296,0.013703814939552863
3,14.486073699483587,19.957980652997623,343,139,482,0.2883817427385892,0.24243483755097472,0.3405036500102856,0.025018013713341385
4,19.957980652997623,87.22496870002044,0,483,483,1.0,0.9127954309302668,1.0932886264673403,0.04604502825997657
