M_bin,edge_lo,edge_hi,seed3000_n_kept,seed3000_n_timeout,seed3000_rate,seed61000_n_kept,seed61000_n_timeout,seed61000_rate,diff_sigma
0,35519.79338813367,77608.1885928589,15,103,0.8728813559322034,0,309,1.0,1.2048189350671354
1,77608.1885928589,169568.12917853205,110,401,0.7847358121330724,5,163,0.9702380952380952,2.128364949427492
2,169568.12917853205,370493.77075337456,1017,378,0.2709677419354839,181,153,0.45808383233532934,4.6329857708319215
3,370493.77075337456,809501.3775998681,1993,245,0.1094727435210008,1103,99,0.08236272878535773,2.4454309850439575
4,809501.3775998681,1768702.1681796953,192,69,0.264367816091954,303,96,0.24060150375939848,0.5734081662400045
