bin,edge_lo,edge_hi,n_kept,n_timeout,denom,rate,rate_garwood_lo95,rate_garwood_hi95,se_approx_from_garwood
0,11467.740863298552,47353.27632117414,0,206,206,1.0,0.8680971650278466,1.1462808445899026,0.07096652784491349
1,47353.27632117414,195533.76403830902,9,302,311,0.9710610932475884,0.8646182420398263,1.0869901709277265,0.05672857483298169
2,195533.76403830902,807408.8183396299,1279,216,1495,0.14448160535117058,0.12585488744786508,0.1650884603701883,0.01000874835515428
3,807408.8183396299,3333997.088118623,304,81,385,0.21038961038961038,0.1670797194653126,0.26149507579254294,0.024085992479257357
4,3333997.088118623,13766938.689099597,0,15,15,1.0,0.5596924088522208,1.649347924765723,0.27797845162296403
