event_idx,n_cand_nomass,n_pass_mass_filter,z_min,z_max
0,364,184,0.1093348129344896,0.1974467857163626
1,2815,766,0.11627586525664829,0.36795894383474054
2,913,609,0.13065273237703245,0.21432354923654706
3,2576,1219,0.05142332603891878,0.17822723166543644
4,266,201,0.07149040931582461,0.1342550588898542
5,520,146,0.0,0.27886796630270433
6,2378,1526,0.0,0.17496492083711254
7,31509,9444,0.0,0.416283006360106
8,630,448,0.0,0.14550344886568356
9,6143,1424,0.13912775656949353,0.36253550897521986
10,1040,316,0.013632898447809369,0.20423456323840525
11,9346,2753,0.026175137300598887,0.3066199614012545
12,2460,783,0.059242185580109415,0.2593223860356544
13,27,13,0.13253780527348438,0.21797794212877672
14,1,0,0.13183564234903902,0.21567075034725344
15,10412,5412,0.04916108703774731,0.29364040527564267
16,18096,5259,0.014076073993785727,0.298057415237227
17,227,114,0.10726584709608175,0.20622724008087961
18,851,247,0.0,0.3131769176262672
19,8,2,0.1774120393626691,0.28745130561192156
20,180,95,0.047979270853139154,0.18540658298907692
21,14952,5973,0.07313898173833026,0.34946423037158286
22,125,34,0.05496900722956502,0.2358595244851266
23,144,107,0.07175703025949003,0.1258888881683359
24,12582,4062,0.0663931252287024,0.2633281823755535
25,0,0,0.0836024505471538,0.13863328497731164
26,5487,511,0.20273758412943294,0.3625874038635116
27,184,128,0.08460023874688327,0.14904039759140472
28,5277,2094,0.014615640462680301,0.1974733922278088
29,665,91,0.15201647183871086,0.26152786859290617
30,185,145,0.025726170569406258,0.12170971083379595
31,2247,579,0.112029011708928,0.26152250750823186
32,180,47,0.06535318222599855,0.42074505876339763
33,446,156,0.0,0.26573760804832003
34,6797,2650,0.07381400134304532,0.21638637048117607
35,323,194,0.08444799788316097,0.14392506701252902
36,152,36,0.15962188093902357,0.2588848455933815
37,467,290,0.09908841025393608,0.19679820539687318
38,1783,872,0.03013803401495016,0.25586437787387806
39,13856,7735,0.0,0.20976938471853196
40,13297,3116,0.14510102153238755,0.3318148244438035
41,19,17,0.08994817192128053,0.14966840576292395
42,38,5,0.17733672592703903,0.29995046067754927
43,24,6,0.1677873133996484,0.2733719361617107
44,293,261,0.03205757522032936,0.07425889716741796
45,7163,3957,0.04299475638313166,0.21078778354370692
46,364,178,0.026195899279117106,0.08512403788556913
47,216,84,0.06028909896759309,0.2019176544938465
48,42261,15897,0.09914179548517144,0.48743842234793927
49,1462,464,0.1072772524208156,0.424527526481097
50,99,23,0.15405953252418358,0.33426339880298267
51,1820,1302,0.06153369078040723,0.15166927212126133
52,28570,7251,0.0826194940671061,0.3166155713192306
53,14717,9137,0.10144873027817691,0.2501310184416417
54,3497,228,0.19381731986257208,0.35730945229755473
55,6378,1931,0.09032602142750523,0.34520455865579525
56,38,13,0.12867873328948692,0.21177415197977417
57,1526,244,0.18263015980141992,0.330423825560263
58,5701,1495,0.09692083794724175,0.2545793927314302
59,51,3,0.14029328964192833,0.24098804732394877
60,18453,7939,0.01417416284097958,0.29894406534279366
61,1237,152,0.18844204424603628,0.3301890250620714
62,1194,308,0.08899077412483389,0.2349325786772603
63,24,12,0.09114937831495994,0.1510043386266795
64,4230,1245,0.0694051081009498,0.4652053627220359
65,875,312,0.10869959783935797,0.2739536856647361
66,1213,354,0.02043032118583993,0.23637062076469725
67,411,60,0.17808200008200653,0.4088315953368003
68,6,2,0.11995879665248185,0.19808942919717787
69,3,2,0.10249011171105926,0.16885132035006092
70,3,0,0.15631406699843683,0.2540221747472145
71,55,14,0.12746894039487133,0.22793631800962028
72,37,12,0.11472343498547799,0.1896523900655448
73,0,0,0.10071606096539551,0.16636967872698719
74,13,8,0.11495131299000252,0.19659289468432722
75,1956,1132,0.03708507620826142,0.17999394270132535
76,2482,955,0.06487266329814079,0.42423115113489746
77,1297,391,0.08582958562952427,0.2677488763562507
78,274,19,0.1840742378042596,0.4465037645164416
79,1250,546,0.011257149148651138,0.2411382081494017
80,2805,1091,0.146068013775931,0.2647722519280854
81,19,0,0.3395031950046847,0.5489542336086696
82,776,640,0.0,0.1342469408122238
83,425,159,0.10077569663922187,0.26883470245500957
84,6193,2267,0.11167899657521366,0.25225000101658235
85,530,342,0.041576587995205146,0.1828819145482546
86,1717,525,0.03700330036283822,0.36319379172595945
87,5984,3994,0.0,0.16943618306743527
88,3741,3135,0.0,0.05932914592906605
89,8389,3334,0.04296464092674283,0.4290668717429941
90,12932,8610,0.08617834978717566,0.16813291919501652
91,40,33,0.06723245651743193,0.11785353766758846
92,11869,3548,0.045284348298967485,0.22949146545008303
93,2530,1108,0.05654499576287914,0.2639026137730561
94,9178,3659,0.0,0.36174285234726833
95,941,462,0.0,0.1362963456285255
96,4337,132,0.2057131709381363,0.4064902563013491
97,265,88,0.11772933010465542,0.23515325899772258
98,12185,3690,0.029659120318102666,0.3434961843134356
99,4173,2347,0.0,0.20261073360360857
100,1651,937,0.0,0.16611564740525428
101,219,74,0.1107141903821697,0.23065099552290239
102,79,52,0.11237110513563595,0.18575347725731986
103,583,144,0.15432759192233328,0.40320423349691986
104,568,274,0.06659598478478827,0.18677610575554798
105,11845,6886,0.015750513993547217,0.21347403706261053
106,7630,2489,0.15512969005367713,0.3506568358932709
107,5512,2397,0.0038447481445311746,0.26036805183681144
108,26,19,0.041612871253123795,0.09670062745679957
109,13079,4307,0.03702150405238328,0.24403310923929303
110,6,0,0.2554713211342119,0.41220836075393713
111,56,15,0.06875117446972981,0.12310934296932041
112,10183,5916,0.06538426648472902,0.1857594901022762
113,4003,1510,0.14262907625750698,0.2780293468979674
114,83,45,0.13489140862038598,0.22479133560450484
115,3,0,0.17097244087519706,0.27698589427998205
116,1,0,0.2308241617437394,0.3700222585589188
117,278,69,0.10104746014837752,0.2078117942737725
118,16,12,0.01889143105183128,0.05939986657680199
119,7889,2770,0.09028129734997098,0.3973682581006244
120,754,274,0.03824609549001759,0.29197260436573247
121,881,470,0.10002492491723536,0.22875837956321876
122,2507,846,0.08419517174590091,0.2900203872725178
123,6987,2062,0.07054139540207811,0.32383345172334077
124,10018,3680,0.11229952314861295,0.26135059043451203
125,9764,3933,0.018635385292053355,0.22099705869670383
126,27,12,0.10633117321347657,0.19374077840658224
127,7420,21,0.25736109653395745,0.493533893453668
128,7881,1971,0.1353669267116977,0.30445750482623335
129,643,201,0.033351791810965516,0.34396985066414665
130,7167,2332,0.022919754164806964,0.26555144749082127
131,180,97,0.09016394513049694,0.15171053110687263
132,525,339,0.0,0.12144242066164772
133,2,0,0.1388973778676018,0.22706457818789694
134,7,1,0.12790907594342601,0.21006682965053095
135,49,43,0.014656744009734409,0.07631425610714988
136,739,492,0.01474957491976071,0.137722532783381
137,872,752,0.020404649405417676,0.07930086080390167
138,357,161,0.11306441190091754,0.256701037211304
139,19952,9554,0.11466235090965099,0.30455366960593744
140,8503,1590,0.1495718805205178,0.37760334426473213
141,446,86,0.14879057924463265,0.27165781393377525
142,36964,14998,0.0,0.35138860982620845
143,12892,6183,0.09540007976926722,0.45472192784419496
144,596,171,0.12594575132006564,0.2954716329151042
145,732,211,0.0,0.18103275206566583
146,4590,1592,0.08885237112605618,0.2367192280759876
147,88,9,0.20258579315548658,0.35089703433097247
148,895,315,0.05564303143222161,0.3041459948805553
149,5365,1558,0.03451866670385617,0.3082482078441641
150,1199,455,0.029065100699668212,0.19186529714596187
151,396,83,0.155492438781301,0.2807460215875047
152,2936,973,0.016755029736730136,0.3036022584134521
153,637,259,0.05203570708424948,0.2511486624666342
154,100,56,0.08752581957831955,0.15575209654438715
155,3166,930,0.08877929019037434,0.28194379944268533
156,3778,1218,0.07607601050994557,0.41720725026665684
157,265,44,0.1439219302910972,0.27472711278808565
158,16657,6257,0.09092675166155183,0.2936955385926375
