event_idx,h,d_hat,sigma_dL,z_true,host_galaxy_index,n_cand_no_bh,n_cand_with_bh,f_bar_z_true,f_k_z_true,L_cat_no_bh,B_num,D_tilde_phi
0,0.73,0.9329048109646704,0.01316271387804202,,-1,46,46,,,0.007171301666502061,590749.3846886258,947092103.9967711
1,0.73,2.94002439482111,0.14252055906048117,,-1,281,281,,,3.045827208219219e-06,44817403.65869475,947092103.9967711
2,0.73,4.637045528350061,0.0007285133087681748,,-1,0,0,,,0.0,7659065.871118812,947092103.9967711
3,0.73,1.0704302160883834,0.0639328985414364,,-1,4020,4019,,,0.057005320833726225,12474782.963183846,947092103.9967711
4,0.73,1.0871143937634042,0.010561128023156428,,-1,433,433,,,0.04773282683137315,11417062.761238683,947092103.9967711
6,0.73,3.647885351194778,0.14217019079432897,,-1,147,147,,,1.3279108384453383e-07,44379946.61316436,947092103.9967711
8,0.73,3.387005093284752,0.10432941259785995,,-1,17,17,,,9.417537220411455e-10,33354466.11828863,947092103.9967711
9,0.73,4.525078007081594,0.11066352333936554,,-1,56,56,,,9.982613199893046e-13,10425294.631977143,947092103.9967711
10,0.73,2.637944841433756,0.12290141809089715,,-1,483,483,,,0.0007716890581637915,55142933.07750009,947092103.9967711
11,0.73,2.1610354396468043,0.19065066926854754,,-1,4259,4259,,,0.001372290958488767,52518140.76357967,947092103.9967711
12,0.73,2.0345109713778755,0.11722689272255578,,-1,994,994,,,0.0014421512021461742,22278663.257304665,947092103.9967711
13,0.73,2.357147853157754,0.0012530556518322502,,-1,3,3,,,4.8703167646383556e-05,53309016.28903576,947092103.9967711
14,0.73,2.23361786803469,0.0003380792391414638,,-1,0,0,,,0.0,50448166.790676154,947092103.9967711
15,0.73,2.556898579763126,0.15570060449504267,,-1,4025,4025,,,0.0017978088433777922,58126836.843853466,947092103.9967711
17,0.73,4.707029295511544,0.022148577508140338,,-1,0,0,,,0.0,13066010.68597235,947092103.9967711
18,0.73,2.648560926936875,0.23773275902985583,,-1,0,0,,,0.0,59256373.35251138,947092103.9967711
19,0.73,2.201774336224993,0.0008079541936626563,,-1,1,1,,,0.00038501467216271626,50966207.3109288,947092103.9967711
20,0.73,1.0079204855157904,0.0729123485691827,,-1,344,344,,,0.03947662645422487,9156720.69449265,947092103.9967711
21,0.73,2.8832559074657427,0.17597609701915598,,-1,0,0,,,0.0,22886587.95955571,947092103.9967711
23,0.73,4.936323551246046,0.004462018495207045,,-1,0,0,,,0.0,16615622.250734212,947092103.9967711
24,0.73,1.5771611738005105,0.11256281605924578,,-1,9269,9269,,,0.0053525042234247805,7278322.440746235,947092103.9967711
25,0.73,1.948401938904245,7.984272873243278e-05,,-1,0,0,,,0.0,43237788.17458797,947092103.9967711
26,0.73,4.113894279792621,0.031294286168639475,,-1,0,0,,,0.0,22706737.776372325,947092103.9967711
27,0.73,0.8611055346816258,0.00628882598165541,,-1,507,507,,,0.06699642658173943,7195688.9662974095,947092103.9967711
28,0.73,2.069920302112052,0.11683506494044414,,-1,0,0,,,0.0,31841984.869410146,947092103.9967711
29,0.73,1.540789775403017,0.011528925660437749,,-1,384,384,,,0.022383682205897693,32916246.224795304,947092103.9967711
30,0.73,6.374622498392045,0.05106009713860423,,-1,0,0,,,0.0,1437773.1767730918,947092103.9967711
31,0.73,2.0015539190166614,0.059338782679841856,,-1,894,894,,,0.0018686284974665094,30285920.920845237,947092103.9967711
32,0.73,3.107323869738444,0.24679357893216874,,-1,0,0,,,0.0,54612583.66154414,947092103.9967711
34,0.73,1.1452808773622107,0.06786484772231571,,-1,10805,10804,,,0.0640492116386058,12936817.649228353,947092103.9967711
35,0.73,4.67920216921974,0.002844941515135428,,-1,0,0,,,0.0,22611336.744789127,947092103.9967711
36,0.73,3.007007301036632,9.384412490790375e-05,,-1,1,1,,,4.8204566912111424e-52,51994781.5370398,947092103.9967711
37,0.73,3.876032098051506,0.024530284610790803,,-1,0,0,,,0.0,26329806.266668618,947092103.9967711
38,0.73,2.108255151268999,0.14560130905156107,,-1,1684,1621,,,0.0015091936441923805,34837043.63207414,947092103.9967711
40,0.73,1.7368459724694632,0.07734208789680105,,-1,8868,8868,,,0.010798960037998993,41681927.0670841,947092103.9967711
41,0.73,0.809257733637712,0.0006791935789168086,,-1,26,26,,,0.037648356370777875,4396419.237377736,947092103.9967711
42,0.73,2.515740811677071,0.011084684842615057,,-1,1,1,,,3.7096597260678533e-06,28174946.28698031,947092103.9967711
43,0.73,2.207045542901669,0.0015050737656112703,,-1,5,5,,,0.00018949664277048266,37792576.696394004,947092103.9967711
44,0.73,3.578970813763984,0.0127875848865335,,-1,0,0,,,0.0,39799263.01987183,947092103.9967711
45,0.73,4.167564841818348,0.0971969845227829,,-1,6,6,,,1.8880582932613938e-13,27104565.538233675,947092103.9967711
46,0.73,2.802966355848385,0.02599484872426843,,-1,23,23,,,3.542104471734584e-07,52683006.72800945,947092103.9967711
47,0.73,1.2006065577539389,0.07185266248744927,,-1,199,199,,,0.029922605396926382,12540976.798398389,947092103.9967711
50,0.73,1.8744726880557088,0.0684710068087844,,-1,115,115,,,0.0032550363952217917,24689357.177672762,947092103.9967711
51,0.73,3.516119742416024,0.03378973504672092,,-1,67,67,,,1.0518571719779979e-07,43352248.21464308,947092103.9967711
53,0.73,2.054945066333482,0.06263128233998247,,-1,2939,2939,,,0.000664386555812705,50970291.88113503,947092103.9967711
54,0.73,3.742795759712546,0.03822683362776598,,-1,5,5,,,7.554581681433131e-11,40284284.97777065,947092103.9967711
55,0.73,4.065899685667933,0.15303733160046507,,-1,0,0,,,0.0,33396331.557654366,947092103.9967711
56,0.73,1.8211413831722068,0.0011506755254398911,,-1,44,44,,,0.004141700689217012,35665133.12003566,947092103.9967711
57,0.73,2.9956705303901905,0.029669439086858384,,-1,65,65,,,8.095101588316728e-08,53347047.15971052,947092103.9967711
58,0.73,2.5527919464905384,0.07133290346865674,,-1,1087,1087,,,0.0004186546585784247,58958183.19535564,947092103.9967711
59,0.73,2.7684037743932137,0.009644674229432777,,-1,2,2,,,3.09345378527941e-08,5553939.200792129,947092103.9967711
60,0.73,3.935589370787124,0.196724866817105,,-1,0,0,,,0.0,38693911.93014051,947092103.9967711
61,0.73,2.598531347949508,0.02210324976562949,,-1,102,102,,,2.583327449467468e-06,26276972.964119382,947092103.9967711
62,0.73,4.460301030970965,0.06503734322320677,,-1,1,1,,,5.431901221909756e-16,19368388.49051032,947092103.9967711
63,0.73,1.1260983169038323,0.0002618160858438464,,-1,32,32,,,0.0669101446142843,14288203.306784237,947092103.9967711
65,0.73,2.058149726574338,0.07312533246687088,,-1,584,584,,,0.004152304784776094,49899957.4962278,947092103.9967711
66,0.73,3.836567644204501,0.14044896624750927,,-1,1,1,,,1.1922338112758166e-16,40426732.74805463,947092103.9967711
67,0.73,2.2498181804366437,0.10309209171002545,,-1,200,200,,,0.0004737614960584095,50966225.00558883,947092103.9967711
68,0.73,3.836068006644152,0.0011966546923011271,,-1,0,0,,,0.0,35231394.8160536,947092103.9967711
69,0.73,1.5583380735436352,6.876249567366295e-05,,-1,0,0,,,0.0,19719071.733766723,947092103.9967711
70,0.73,2.611152620497098,0.00033004519961525824,,-1,0,0,,,0.0,56507381.59193781,947092103.9967711
71,0.73,2.4093310858990167,0.014919112975324639,,-1,0,0,,,0.0,49823778.05180786,947092103.9967711
72,0.73,2.5698178807304557,0.001076779933903622,,-1,5,5,,,1.1955853504181623e-05,50394188.41929783,947092103.9967711
73,0.73,1.4290752803399618,0.0003188250948900498,,-1,1,1,,,0.0940277366947123,20993756.766048733,947092103.9967711
74,0.73,1.0012020855479475,0.005966107223306383,,-1,20,20,,,0.07904182526464401,10776343.886686182,947092103.9967711
75,0.73,1.3874500133296526,0.08054201844464974,,-1,2,2,,,6.465835097594327e-11,36915367.46920124,947092103.9967711
77,0.73,3.2229845702984035,0.09439102444509753,,-1,88,88,,,6.76183902206864e-06,41818769.28440201,947092103.9967711
78,0.73,1.6230698580209744,0.1293544185076938,,-1,442,442,,,0.016687661741162763,29244417.088511698,947092103.9967711
79,0.73,4.500403687890081,0.15354701534465168,,-1,0,0,,,0.0,25454102.34928022,947092103.9967711
80,0.73,2.594470940143049,0.021356589601434495,,-1,0,0,,,0.0,53924644.30953033,947092103.9967711
81,0.73,0.6700892446319098,0.013548196244507975,,-1,70,70,,,0.060825828576624885,2346968.9187509064,947092103.9967711
82,0.73,1.7126958718500744,0.09010826256214188,,-1,0,0,,,0.0,47665407.36758047,947092103.9967711
83,0.73,4.576612421715592,0.07820411793878376,,-1,0,0,,,0.0,24743836.327041432,947092103.9967711
84,0.73,4.414623466304472,0.05242830326896437,,-1,1,1,,,3.506137181463064e-15,28301772.338899247,947092103.9967711
85,0.73,1.6163321207101422,0.07789805357266893,,-1,695,695,,,0.02299024699759142,34301946.10355036,947092103.9967711
87,0.73,2.288400215686726,0.1784704356623155,,-1,4827,4827,,,0.0005659580893986588,35339824.15883095,947092103.9967711
88,0.73,0.700363344852366,0.0452036414738658,,-1,15402,15357,,,0.05616455287485613,2964906.2317158515,947092103.9967711
90,0.73,1.4983635431822446,0.018183602619563595,,-1,15308,15308,,,0.022256684750674976,30257167.743563775,947092103.9967711
91,0.73,4.143448451352672,0.003946200527854131,,-1,0,0,,,0.0,21417717.699419,947092103.9967711
92,0.73,5.013623118513292,0.10902259221800635,,-1,0,0,,,0.0,15933036.344469327,947092103.9967711
93,0.73,3.789967359761845,0.12379402198968616,,-1,3,3,,,1.0665108198834514e-12,18733104.165612098,947092103.9967711
96,0.73,1.807257918856533,0.0657536457955922,,-1,6311,6309,,,0.0005400457726347902,3854780.332644459,947092103.9967711
97,0.73,1.9976445777073548,0.03200433052328231,,-1,0,0,,,0.0,30701942.999723267,947092103.9967711
98,0.73,2.185304139251961,0.2178183871832126,,-1,5854,5854,,,0.0013325584540907843,38755961.03584257,947092103.9967711
99,0.73,2.215700812765384,0.14940354955954863,,-1,0,0,,,0.0,33469584.355952412,947092103.9967711
101,0.73,2.5296340503645607,0.03674120794015896,,-1,31,31,,,0.0002059078577562084,52535162.18983492,947092103.9967711
102,0.73,2.6692142556089222,0.0009481805129169511,,-1,0,0,,,0.0,31493311.221459854,947092103.9967711
103,0.73,3.800904997578935,0.12762150977094144,,-1,0,0,,,0.0,27333828.108748622,947092103.9967711
104,0.73,1.925353791309716,0.05367046271796807,,-1,0,0,,,0.0,42496797.771988794,947092103.9967711
105,0.73,2.1084218489033413,0.12770915105414452,,-1,5086,5086,,,0.0006303096514360029,36605236.88971268,947092103.9967711
106,0.73,4.060207522423422,0.08103474983003711,,-1,3,3,,,4.4569531119596206e-13,29880109.075938158,947092103.9967711
108,0.73,3.315245657650244,0.017427269330609427,,-1,0,0,,,0.0,49731103.698942386,947092103.9967711
109,0.73,1.4619155420234988,0.12908006306225836,,-1,6640,6640,,,0.019610540456958345,28042298.541880786,947092103.9967711
110,0.73,3.1415235802348023,0.00488250875490531,,-1,0,0,,,0.0,52905288.68238353,947092103.9967711
111,0.73,0.6233939305534003,0.0058745934998810445,,-1,0,0,,,0.0,8795754.87165059,947092103.9967711
112,0.73,1.8122835307612415,0.05425440969550033,,-1,4534,4534,,,0.005225916673487561,47438920.721981674,947092103.9967711
113,0.73,1.976577564833928,0.036125541964071625,,-1,1171,1171,,,0.00047572713308873985,50335468.83627111,947092103.9967711
114,0.73,1.6100744145500383,0.003637907071377545,,-1,24,24,,,0.02170519732772547,34430615.84261806,947092103.9967711
115,0.73,1.2267679991016365,0.00043291894189321237,,-1,6,6,,,0.0848293151830187,16773292.22722211,947092103.9967711
116,0.73,1.479439487085732,0.0009587981145779579,,-1,3,3,,,0.011418796263075204,31324666.21271804,947092103.9967711
117,0.73,2.263576320619696,0.03053424184977744,,-1,179,179,,,0.00034704667135233055,42383420.43754055,947092103.9967711
118,0.73,0.9448327734641556,0.016950075087966424,,-1,118,118,,,0.05308210556500486,8493645.60459706,947092103.9967711
119,0.73,4.147172072843037,0.19817782142849158,,-1,40,40,,,9.027044575397235e-12,21842290.41487277,947092103.9967711
120,0.73,3.220215764171629,0.1659927269272425,,-1,101,101,,,8.056833527942027e-08,49853444.64297727,947092103.9967711
121,0.73,3.027020057973873,0.04766524180080806,,-1,0,0,,,0.0,19373871.616484758,947092103.9967711
122,0.73,2.0021529214842424,0.11415492777470974,,-1,885,885,,,0.0002153194517733741,3578187.096841033,947092103.9967711
123,0.73,4.903074050612429,0.15725771725573914,,-1,1,1,,,2.8063119336313114e-16,16279973.958529074,947092103.9967711
124,0.73,2.6595857421190816,0.05888658549986491,,-1,1722,1722,,,0.00031315032326978144,47731095.859380186,947092103.9967711
126,0.73,1.5456312678358466,0.013892153853355498,,-1,0,0,,,0.0,41110050.44949901,947092103.9967711
128,0.73,3.6620284881206087,0.06636451707707365,,-1,277,277,,,7.276881839806281e-08,42890145.76509959,947092103.9967711
129,0.73,2.2472617702919955,0.21434745240654227,,-1,264,264,,,0.0009736538776033364,50918457.0158336,947092103.9967711
130,0.73,4.3046402740237415,0.1607874007269671,,-1,0,0,,,0.0,17435624.277603917,947092103.9967711
131,0.73,4.267315083422641,0.0018842557547998275,,-1,0,0,,,0.0,31379438.667262048,947092103.9967711
133,0.73,2.8636819544515766,0.0005645490494591237,,-1,0,0,,,0.0,31064622.030130588,947092103.9967711
134,0.73,1.0180834177397269,0.0007759355672506025,,-1,8,8,,,0.034453413672095895,9334599.702691868,947092103.9967711
135,0.73,1.5978217576529734,0.03214692317035022,,-1,115,115,,,0.018674954261960624,32974421.24535939,947092103.9967711
136,0.73,2.5540921541009034,0.07348165563789441,,-1,278,278,,,0.0012689166371394312,58458199.082944624,947092103.9967711
137,0.73,3.0907482127978563,0.028186064482655253,,-1,65,65,,,3.1035672988770586e-08,41764187.00996092,947092103.9967711
138,0.73,3.2540622574108293,0.05431561378898705,,-1,8,8,,,4.130520017400556e-08,51026529.61049446,947092103.9967711
139,0.73,2.1199561343565785,0.0909999437047661,,-1,10096,10096,,,0.003852091402836792,52711067.09999378,947092103.9967711
140,0.73,5.367340993759945,0.11101105670763611,,-1,0,0,,,0.0,4618509.635927167,947092103.9967711
141,0.73,4.296464704603473,0.023532543636523868,,-1,0,0,,,0.0,22625220.43432427,947092103.9967711
142,0.73,4.241632190718732,0.2567847350849345,,-1,4,4,,,5.712015344185754e-20,31927756.427086182,947092103.9967711
144,0.73,1.185778198115519,0.07025490992775807,,-1,0,0,,,0.0,18959833.199045416,947092103.9967711
146,0.73,1.6769307920576817,0.06657792989899655,,-1,9737,9737,,,0.015337967429196726,39053761.53529478,947092103.9967711
147,0.73,1.6944266532836711,0.021489407121207414,,-1,78,78,,,0.010872452626076721,29695721.199277803,947092103.9967711
148,0.73,5.290142297571555,0.1572914356537167,,-1,0,0,,,0.0,4342552.277884602,947092103.9967711
149,0.73,4.989288504033585,0.18325760551605272,,-1,0,0,,,0.0,16068754.620814946,947092103.9967711
150,0.73,1.3890742463665111,0.09772634427920088,,-1,1722,1722,,,0.047443360861831714,26560374.770492055,947092103.9967711
151,0.73,1.6449080823803222,0.02262863324282534,,-1,400,400,,,0.03406608303329723,37151525.38596573,947092103.9967711
152,0.73,2.3892931096700414,0.19790107920174135,,-1,1026,1026,,,0.00023628473492882493,32575567.62355896,947092103.9967711
153,0.73,2.087332963427761,0.11860633593564342,,-1,206,206,,,0.0009312118133962442,26816817.543901514,947092103.9967711
154,0.73,2.622873647546467,0.0077570430336596306,,-1,0,0,,,0.0,41987798.4895714,947092103.9967711
155,0.73,1.2634054377820318,0.10243275155120896,,-1,0,0,,,0.0,31745826.216344357,947092103.9967711
156,0.73,2.525973144768888,0.23175499011185907,,-1,585,585,,,0.00019463875992049945,44007826.22177917,947092103.9967711
157,0.73,1.6366198326073818,0.031908208161172257,,-1,0,0,,,0.0,23452642.810777254,947092103.9967711
